train_cat,post_mean,post_sd,hdi_low,hdi_high
HighSpeed,-0.3778213306655753,0.04959945343122377,-0.4735028041385125,-0.2792555878943551
Regional,0.010520472655574499,0.03362200135085879,-0.05657288945209163,0.07461196689465
S-Bahn,0.3673008580100008,0.04000095153821717,0.28858063320039823,0.4448593967775719
