train_cat,post_prob_mean,hdi_low,hdi_high
HighSpeed,0.05798806641523805,0.0450873799554373,0.07122547057058681
Regional,0.0832853301908396,0.07156265860186103,0.09503954868490035
S-Bahn,0.09031543728554768,0.07686772571724755,0.10319487803910855
