bin,n,mean_pred,obs_rate
"(0.379, 0.63]",290,0.5742449124422004,0.7758620689655172
"(0.63, 0.715]",298,0.6819087741154548,0.7214765100671141
"(0.715, 0.762]",295,0.7409560919012604,0.688135593220339
"(0.762, 0.8]",268,0.7834059428681314,0.7835820895522388
"(0.8, 0.834]",275,0.820821019481254,0.7563636363636363
"(0.834, 0.865]",297,0.8466794959242504,0.8484848484848485
"(0.865, 0.884]",269,0.8777969283878941,0.8401486988847584
"(0.884, 0.914]",290,0.8965370524276958,0.9275862068965517
"(0.914, 0.926]",281,0.9197774719799766,0.8612099644128114
"(0.926, 0.965]",277,0.9423431448798087,0.924187725631769
