parameter,post_mean,post_sd,hdi_low,hdi_high,story,model
train_cat_sigma,0.3994503029343679,0.15140122967768746,0.1461708913085562,0.6948727397864894,story1,1E_bern
train_cat_sigma,0.32562913148254546,0.1485660499381484,0.09459652277050556,0.6157878408119726,story1,1G_binom
train_cat_sigma,0.4490156238218589,0.15852420943962556,0.20082256207696375,0.7867582366853167,story2,2E_delay
train_cat_sigma,0.3297437402270297,0.14674408238093056,0.11168038766855964,0.6265285625515552,story2,2G_delay
train_cat_sigma,0.39166819694066807,0.1511225967912004,0.1522174574622372,0.6859208978898479,story3,3E_delay
train_cat_sigma,0.45158040440831937,0.15405197145956084,0.19680785194537612,0.7544493043070181,story3,3G_delay
