,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
train_cat_sigma,0.45,0.16,0.2,0.76,0.0,0.0,6487.56,5679.33,1.0
train_cat_eff[HighSpeed],0.51,0.06,0.4,0.62,0.0,0.0,8877.49,7489.78,1.0
train_cat_eff[Regional],-0.14,0.04,-0.21,-0.07,0.0,0.0,8802.31,6815.81,1.0
train_cat_eff[S-Bahn],-0.37,0.04,-0.45,-0.28,0.0,0.0,8975.09,6878.32,1.0
