train_cat,post_prob_mean,hdi_low,hdi_high
HighSpeed,0.05428149363838236,0.04593983693766482,0.06292537505058193
Regional,0.0779376143268814,0.0680799630619384,0.08714864948902841
S-Bahn,0.10778447308938269,0.09343407375184787,0.12196782919112352
