bin,n,mean_pred,obs_rate
"(0.516, 0.755]",284,0.7103450353778288,0.6690140845070423
"(0.755, 0.793]",284,0.7750248166288716,0.75
"(0.793, 0.816]",284,0.8057076089498066,0.7887323943661971
"(0.816, 0.834]",284,0.8252235757867115,0.7711267605633803
"(0.834, 0.849]",284,0.841470064079476,0.8450704225352113
"(0.849, 0.863]",284,0.855515643932594,0.8169014084507042
"(0.863, 0.876]",285,0.8692860286949728,0.8315789473684211
"(0.876, 0.891]",283,0.883411474911732,0.8551236749116607
"(0.891, 0.91]",284,0.8998163011339761,0.8908450704225352
"(0.91, 0.961]",284,0.9267229322095634,0.9014084507042254
