weekday_cat,hour_3h_bin,train_cat,y,n,days_until_xmas_z_mean
4,12-14,HighSpeed,59,70,-0.09845513525232004
4,12-14,Regional,133,179,0.1708612447447709
4,12-14,S-Bahn,50,74,-0.0189911817477512
4,15-17,HighSpeed,69,79,-0.012082923071930074
4,15-17,Regional,146,174,0.11961835588773939
4,15-17,S-Bahn,48,77,-0.02280763234488315
4,18-20,HighSpeed,54,57,-0.13057214525863534
4,18-20,Regional,145,167,0.1589879634646059
4,18-20,S-Bahn,43,60,-0.09105849052359288
4,21-23,HighSpeed,42,44,0.1360521237607343
4,21-23,Regional,89,116,-0.0142864193737006
4,21-23,S-Bahn,37,53,-0.0974084402435379
5,00-02,HighSpeed,12,13,-0.008841939500433292
5,00-02,Regional,39,50,-0.20718581276460935
5,00-02,S-Bahn,17,27,-0.22789641800504537
5,03-05,HighSpeed,15,25,-0.1139880891826471
5,03-05,Regional,14,37,0.05897345187937291
5,03-05,S-Bahn,16,33,-0.2985007540519865
5,06-08,HighSpeed,48,78,-0.10841215700252971
5,06-08,Regional,100,153,0.03606227623580627
5,06-08,S-Bahn,29,51,-0.27358157662365434
5,09-11,HighSpeed,71,83,-0.1218481381594391
5,09-11,Regional,129,184,0.011288560994555764
5,09-11,S-Bahn,25,51,-0.2278964180050454
5,12-14,HighSpeed,52,70,-0.2648796416486812
5,12-14,Regional,134,184,0.002846738206334547
5,12-14,S-Bahn,27,53,-0.25231930154329546
5,15-17,HighSpeed,66,80,-0.10816323145877446
5,15-17,Regional,144,183,0.0012783121145338837
5,15-17,S-Bahn,36,54,-0.2135140532547426
5,18-20,HighSpeed,55,64,-0.25621169860720405
5,18-20,Regional,147,177,0.02659830740709255
5,18-20,S-Bahn,31,49,-0.1697799237079034
5,21-23,HighSpeed,32,36,-0.09845513525232007
5,21-23,Regional,89,118,-0.05896457441250555
5,21-23,S-Bahn,30,51,-0.2278964180050454
6,00-02,HighSpeed,9,12,-0.07996352343050216
6,00-02,Regional,27,50,-0.2094048061832275
6,00-02,S-Bahn,12,28,-0.2926170593814081
6,03-05,HighSpeed,8,19,-0.4342238762274347
6,03-05,Regional,4,17,0.13323388345633957
6,03-05,S-Bahn,8,27,-0.33884608893595286
6,06-08,HighSpeed,39,69,-0.19252116060678506
6,06-08,Regional,52,108,-0.09434588818080496
6,06-08,S-Bahn,22,50,-0.3181354836955168
6,09-11,HighSpeed,67,76,-0.17874766026810832
6,09-11,Regional,82,137,-0.08185317719331565
6,09-11,S-Bahn,38,58,-0.35670005897081153
6,12-14,HighSpeed,57,65,-0.20343059313310172
6,12-14,Regional,98,139,-0.06692627193022765
6,12-14,S-Bahn,37,53,-0.36326897247420287
6,15-17,HighSpeed,52,64,-0.2094048061832275
6,15-17,Regional,102,131,-0.07008250947991243
6,15-17,S-Bahn,27,51,-0.35407447514215584
6,18-20,HighSpeed,49,58,-0.1960143286570835
6,18-20,Regional,97,128,-0.03951312257027548
6,18-20,S-Bahn,36,53,-0.33396151222830284
6,21-23,HighSpeed,29,32,-0.2579452872154995
6,21-23,Regional,55,108,-0.14468416480686483
6,21-23,S-Bahn,23,52,-0.2990180019351143
