,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[hour_dec],0.23,0.02,0.19,0.27,0.0,0.0,10024.93,5370.1,1.0
beta[days_until_xmas],0.34,0.02,0.3,0.39,0.0,0.0,11430.02,5821.65,1.0
intercept,1.61,0.05,1.51,1.7,0.0,0.0,8173.45,5434.31,1.0
weekday_cat_raw[0],0.16,0.2,-0.21,0.52,0.0,0.0,2622.2,4361.62,1.0
weekday_cat_raw[1],0.14,0.19,-0.22,0.5,0.0,0.0,2694.8,3966.3,1.0
weekday_cat_raw[2],-0.0,0.2,-0.38,0.35,0.0,0.0,2668.31,4448.27,1.0
weekday_cat_raw[3],-0.08,0.2,-0.44,0.3,0.0,0.0,2636.32,4043.02,1.0
weekday_cat_raw[4],0.04,0.2,-0.32,0.42,0.0,0.0,2628.13,4335.92,1.0
weekday_cat_raw[5],-0.01,0.2,-0.38,0.36,0.0,0.0,2706.03,4185.44,1.0
weekday_cat_raw[6],-0.27,0.2,-0.64,0.1,0.0,0.0,2720.89,4242.01,1.0
dest_top_raw[Aachen Hbf],0.4,0.26,-0.08,0.88,0.0,0.0,5581.95,5702.53,1.0
dest_top_raw[Berlin Ostbahnhof],-0.56,0.19,-0.93,-0.21,0.0,0.0,3511.41,4621.01,1.0
dest_top_raw[Dortmund Hbf],0.24,0.16,-0.07,0.54,0.0,0.0,2718.99,3741.03,1.0
dest_top_raw[Düsseldorf Hbf],-0.74,0.17,-1.07,-0.43,0.0,0.0,2877.05,4477.02,1.0
dest_top_raw[Hamburg-Altona],-0.01,0.21,-0.38,0.38,0.0,0.0,3948.46,5537.92,1.0
dest_top_raw[Hamm(Westf)Hbf],0.36,0.19,0.01,0.72,0.0,0.0,3298.54,5100.57,1.0
dest_top_raw[Köln Hbf],-0.09,0.2,-0.48,0.26,0.0,0.0,3718.78,5206.91,1.0
dest_top_raw[Köln/Bonn Flughafen],0.11,0.24,-0.34,0.55,0.0,0.0,4875.24,5909.74,1.0
dest_top_raw[Minden(Westf)],-0.13,0.23,-0.56,0.31,0.0,0.0,4744.24,5754.99,1.0
dest_top_raw[München Hbf],0.46,0.25,-0.04,0.91,0.0,0.0,5152.61,5351.7,1.0
dest_top_raw[Other],-0.04,0.18,-0.37,0.32,0.0,0.0,3135.17,4635.14,1.0
train_cat_offset[HighSpeed],1.25,0.73,-0.11,2.59,0.01,0.01,6577.0,5684.29,1.0
train_cat_offset[Regional],-0.35,0.6,-1.49,0.78,0.01,0.01,6253.32,5255.72,1.0
train_cat_offset[S-Bahn],-0.92,0.66,-2.21,0.28,0.01,0.01,6218.94,5229.68,1.0
train_cat_sigma,0.45,0.16,0.2,0.76,0.0,0.0,6487.56,5679.33,1.0
weekday_cat_eff[0],0.16,0.05,0.06,0.26,0.0,0.0,8825.48,4978.27,1.0
weekday_cat_eff[1],0.14,0.05,0.04,0.24,0.0,0.0,9566.12,4904.77,1.0
weekday_cat_eff[2],0.0,0.05,-0.1,0.1,0.0,0.0,9122.35,5383.97,1.0
weekday_cat_eff[3],-0.08,0.06,-0.19,0.03,0.0,0.0,9148.22,5133.98,1.0
weekday_cat_eff[4],0.05,0.06,-0.06,0.15,0.0,0.0,8520.64,4794.42,1.0
weekday_cat_eff[5],-0.01,0.06,-0.12,0.09,0.0,0.0,8666.31,5137.02,1.0
weekday_cat_eff[6],-0.26,0.06,-0.37,-0.15,0.0,0.0,9202.99,5398.44,1.0
dest_top_eff[Aachen Hbf],0.4,0.21,0.02,0.8,0.0,0.0,11607.05,6151.38,1.0
dest_top_eff[Berlin Ostbahnhof],-0.56,0.12,-0.79,-0.33,0.0,0.0,11102.44,6117.7,1.0
dest_top_eff[Dortmund Hbf],0.24,0.07,0.12,0.36,0.0,0.0,8165.87,6275.07,1.0
dest_top_eff[Düsseldorf Hbf],-0.74,0.08,-0.9,-0.58,0.0,0.0,9310.07,6120.45,1.0
dest_top_eff[Hamburg-Altona],-0.01,0.14,-0.27,0.25,0.0,0.0,12103.44,5665.07,1.0
dest_top_eff[Hamm(Westf)Hbf],0.36,0.12,0.14,0.58,0.0,0.0,10172.65,5789.54,1.0
dest_top_eff[Köln Hbf],-0.09,0.13,-0.34,0.15,0.0,0.0,13111.38,6360.93,1.0
dest_top_eff[Köln/Bonn Flughafen],0.11,0.18,-0.24,0.45,0.0,0.0,11300.98,5708.95,1.0
dest_top_eff[Minden(Westf)],-0.13,0.18,-0.47,0.19,0.0,0.0,13536.01,6279.95,1.0
dest_top_eff[München Hbf],0.46,0.2,0.09,0.85,0.0,0.0,11203.38,5843.36,1.0
dest_top_eff[Other],-0.04,0.11,-0.23,0.16,0.0,0.0,10792.41,6030.84,1.0
train_cat_raw_eff[HighSpeed],0.5,0.28,-0.04,1.04,0.0,0.0,5569.65,5170.9,1.0
train_cat_raw_eff[Regional],-0.14,0.28,-0.69,0.37,0.0,0.0,5681.17,5247.82,1.0
train_cat_raw_eff[S-Bahn],-0.37,0.28,-0.92,0.15,0.0,0.0,5826.53,5297.12,1.0
train_cat_eff[HighSpeed],0.51,0.06,0.4,0.62,0.0,0.0,8877.49,7489.78,1.0
train_cat_eff[Regional],-0.14,0.04,-0.21,-0.07,0.0,0.0,8802.31,6815.81,1.0
train_cat_eff[S-Bahn],-0.37,0.04,-0.45,-0.28,0.0,0.0,8975.09,6878.32,1.0
p[0],0.87,0.01,0.85,0.89,0.0,0.0,9227.88,6967.61,1.0
p[1],0.87,0.01,0.85,0.89,0.0,0.0,9227.88,6967.61,1.0
p[2],0.87,0.01,0.85,0.89,0.0,0.0,9225.45,6935.35,1.0
p[3],0.9,0.02,0.87,0.93,0.0,0.0,11699.24,6793.36,1.0
p[4],0.84,0.01,0.81,0.86,0.0,0.0,9408.19,6640.14,1.0
p[5],0.84,0.01,0.81,0.86,0.0,0.0,9406.06,6640.14,1.0
p[6],0.87,0.01,0.85,0.89,0.0,0.0,9217.82,6903.67,1.0
p[7],0.88,0.01,0.85,0.91,0.0,0.0,10469.2,6585.0,1.0
p[8],0.87,0.01,0.85,0.89,0.0,0.0,9214.34,6941.82,1.0
p[9],0.93,0.01,0.91,0.94,0.0,0.0,9400.74,6821.96,1.0
p[10],0.71,0.02,0.67,0.76,0.0,0.0,9468.67,7482.29,1.0
p[11],0.87,0.01,0.85,0.89,0.0,0.0,9214.09,6941.2,1.0
p[12],0.85,0.02,0.82,0.88,0.0,0.0,10013.25,7066.4,1.0
p[13],0.84,0.01,0.82,0.86,0.0,0.0,9386.05,6637.95,1.0
p[14],0.84,0.01,0.82,0.86,0.0,0.0,9383.04,6755.98,1.0
p[15],0.93,0.01,0.91,0.94,0.0,0.0,9391.04,6853.42,1.0
p[16],0.87,0.01,0.85,0.89,0.0,0.0,9201.89,6938.11,1.0
p[17],0.87,0.01,0.85,0.89,0.0,0.0,9201.89,6938.11,1.0
p[18],0.87,0.01,0.85,0.89,0.0,0.0,9199.57,6906.55,1.0
p[19],0.87,0.01,0.85,0.89,0.0,0.0,9193.43,6894.45,1.0
p[20],0.84,0.01,0.82,0.87,0.0,0.0,9360.29,6951.83,1.0
p[21],0.85,0.01,0.82,0.87,0.0,0.0,9352.57,7048.44,1.0
p[22],0.87,0.01,0.85,0.89,0.0,0.0,9186.53,6832.29,1.0
p[23],0.85,0.01,0.82,0.87,0.0,0.0,9341.86,7015.72,1.0
p[24],0.91,0.01,0.89,0.93,0.0,0.0,9459.08,7014.44,1.0
p[25],0.88,0.01,0.86,0.89,0.0,0.0,9177.3,6712.34,1.0
p[26],0.85,0.01,0.83,0.87,0.0,0.0,9323.62,7049.39,1.0
p[27],0.89,0.01,0.86,0.91,0.0,0.0,10463.46,6542.17,1.0
p[28],0.91,0.01,0.88,0.93,0.0,0.0,11732.59,6797.96,1.0
p[29],0.85,0.01,0.83,0.87,0.0,0.0,9299.85,7082.98,1.0
p[30],0.85,0.01,0.83,0.88,0.0,0.0,9282.66,6983.99,1.0
p[31],0.88,0.01,0.86,0.9,0.0,0.0,9146.28,6790.42,1.0
p[32],0.86,0.01,0.84,0.88,0.0,0.0,9259.7,7064.53,1.0
p[33],0.9,0.02,0.86,0.94,0.0,0.0,10808.68,6118.85,1.0
p[34],0.86,0.01,0.84,0.88,0.0,0.0,9216.1,7178.87,1.0
p[35],0.9,0.02,0.86,0.94,0.0,0.0,10736.21,6223.49,1.0
p[36],0.92,0.01,0.9,0.94,0.0,0.0,11625.93,6565.99,1.0
p[37],0.86,0.01,0.85,0.88,0.0,0.0,9195.99,7229.15,1.0
p[38],0.9,0.01,0.88,0.92,0.0,0.0,10455.77,6570.75,1.0
p[39],0.89,0.01,0.87,0.91,0.0,0.0,9120.37,6883.86,1.0
p[40],0.89,0.01,0.88,0.91,0.0,0.0,9120.19,6884.6,1.0
p[41],0.92,0.01,0.9,0.94,0.0,0.0,11625.08,6577.74,1.0
p[42],0.89,0.01,0.88,0.91,0.0,0.0,9119.74,6884.08,1.0
p[43],0.89,0.01,0.88,0.91,0.0,0.0,9120.02,6884.08,1.0
p[44],0.87,0.01,0.85,0.88,0.0,0.0,9183.61,7202.74,1.0
p[45],0.92,0.01,0.9,0.94,0.0,0.0,9435.1,6390.49,1.0
p[46],0.87,0.01,0.85,0.89,0.0,0.0,9183.29,7202.74,1.0
p[47],0.87,0.01,0.85,0.89,0.0,0.0,9180.93,7236.79,1.0
p[48],0.9,0.02,0.87,0.94,0.0,0.0,10665.18,6083.88,1.0
p[49],0.87,0.01,0.85,0.9,0.0,0.0,9997.47,6770.98,1.0
p[50],0.89,0.01,0.88,0.91,0.0,0.0,9112.07,6853.3,1.0
p[51],0.9,0.01,0.88,0.92,0.0,0.0,10456.31,6472.44,1.0
p[52],0.76,0.02,0.72,0.79,0.0,0.0,9435.49,7161.78,1.0
p[53],0.88,0.02,0.83,0.92,0.0,0.0,10473.84,6517.77,1.0
p[54],0.87,0.01,0.85,0.89,0.0,0.0,9167.31,7202.59,1.0
p[55],0.87,0.01,0.85,0.89,0.0,0.0,9165.99,7202.25,1.0
p[56],0.9,0.01,0.88,0.92,0.0,0.0,10456.72,6472.15,1.0
p[57],0.76,0.02,0.72,0.79,0.0,0.0,9435.21,7126.12,1.0
p[58],0.89,0.01,0.88,0.91,0.0,0.0,9110.55,6762.15,1.0
p[59],0.89,0.01,0.88,0.91,0.0,0.0,9110.91,6762.78,1.0
p[60],0.92,0.01,0.91,0.94,0.0,0.0,9434.52,6536.68,1.0
p[61],0.87,0.01,0.85,0.89,0.0,0.0,9161.2,7236.63,1.0
p[62],0.89,0.01,0.88,0.91,0.0,0.0,9110.06,6762.78,1.0
p[63],0.89,0.01,0.88,0.91,0.0,0.0,9111.0,6762.98,1.0
p[64],0.89,0.01,0.88,0.91,0.0,0.0,9110.9,6702.73,1.0
p[65],0.87,0.01,0.85,0.89,0.0,0.0,9152.77,7168.38,1.0
p[66],0.86,0.02,0.83,0.89,0.0,0.0,9851.01,6718.83,1.0
p[67],0.87,0.01,0.85,0.89,0.0,0.0,9149.79,7168.14,1.0
p[68],0.91,0.02,0.87,0.94,0.0,0.0,10584.68,5940.07,1.0
p[69],0.88,0.01,0.85,0.9,0.0,0.0,9995.49,6770.52,1.0
p[70],0.88,0.01,0.85,0.9,0.0,0.0,9995.49,6770.52,1.0
p[71],0.95,0.01,0.93,0.97,0.0,0.0,10770.07,6574.17,1.0
