,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[72],0.9,0.01,0.88,0.91,0.0,0.0,9107.69,6674.97,1.0
p[73],0.87,0.01,0.86,0.89,0.0,0.0,9141.1,7134.58,1.0
p[74],0.91,0.01,0.89,0.93,0.0,0.0,10454.16,6654.61,1.0
p[75],0.76,0.02,0.73,0.8,0.0,0.0,9431.21,7267.03,1.0
p[76],0.85,0.02,0.81,0.9,0.0,0.0,11938.93,6602.51,1.0
p[77],0.88,0.02,0.84,0.92,0.0,0.0,10473.4,6602.46,1.0
p[78],0.91,0.01,0.89,0.93,0.0,0.0,10448.98,6567.02,1.0
p[79],0.87,0.01,0.86,0.89,0.0,0.0,9134.41,7135.01,1.0
p[80],0.87,0.01,0.86,0.89,0.0,0.0,9132.42,7168.31,1.0
p[81],0.9,0.01,0.88,0.91,0.0,0.0,9106.01,6616.32,1.0
p[82],0.9,0.01,0.88,0.91,0.0,0.0,9104.59,6616.79,1.0
p[83],0.9,0.01,0.88,0.91,0.0,0.0,9104.59,6616.79,1.0
p[84],0.77,0.02,0.73,0.8,0.0,0.0,9426.75,7296.8,1.0
p[85],0.87,0.01,0.86,0.89,0.0,0.0,9127.65,7134.02,1.0
p[86],0.87,0.01,0.86,0.89,0.0,0.0,9127.65,7134.02,1.0
p[87],0.9,0.01,0.88,0.91,0.0,0.0,9101.66,6617.78,1.0
p[88],0.9,0.01,0.88,0.91,0.0,0.0,9102.13,6617.78,1.0
p[89],0.9,0.01,0.88,0.91,0.0,0.0,9102.13,6617.78,1.0
p[90],0.87,0.01,0.86,0.89,0.0,0.0,9125.68,7167.32,1.0
p[91],0.93,0.01,0.91,0.94,0.0,0.0,9436.66,6619.51,1.0
p[92],0.87,0.02,0.84,0.9,0.0,0.0,9854.14,6780.78,1.0
p[93],0.93,0.01,0.91,0.94,0.0,0.0,9435.46,6619.39,1.0
p[94],0.93,0.01,0.91,0.94,0.0,0.0,9436.38,6619.39,1.0
p[95],0.88,0.01,0.86,0.89,0.0,0.0,9120.22,7204.82,1.0
p[96],0.91,0.02,0.88,0.95,0.0,0.0,10509.65,5976.08,1.0
p[97],0.88,0.01,0.86,0.91,0.0,0.0,9992.92,6875.11,1.0
p[98],0.88,0.01,0.86,0.89,0.0,0.0,9117.35,7172.24,1.0
p[99],0.86,0.02,0.81,0.9,0.0,0.0,11933.42,6660.39,1.0
p[100],0.9,0.01,0.89,0.91,0.0,0.0,9100.63,6618.05,1.0
p[101],0.91,0.01,0.89,0.93,0.0,0.0,10452.75,6652.48,1.0
p[102],0.77,0.02,0.74,0.8,0.0,0.0,9426.53,7024.74,1.0
p[103],0.9,0.01,0.89,0.91,0.0,0.0,9109.41,6666.39,1.0
p[104],0.89,0.02,0.85,0.92,0.0,0.0,10471.43,6574.26,1.0
p[105],0.88,0.01,0.86,0.9,0.0,0.0,9113.38,7201.34,1.0
p[106],0.86,0.01,0.84,0.89,0.0,0.0,9268.86,6645.16,1.0
p[107],0.91,0.01,0.89,0.93,0.0,0.0,10450.4,6654.11,1.0
p[108],0.9,0.01,0.89,0.91,0.0,0.0,9107.3,6637.46,1.0
p[109],0.9,0.01,0.89,0.91,0.0,0.0,9107.06,6637.11,1.0
p[110],0.88,0.01,0.86,0.9,0.0,0.0,9108.18,7200.68,1.0
p[111],0.93,0.01,0.91,0.95,0.0,0.0,11596.01,6643.35,1.0
p[112],0.9,0.01,0.89,0.92,0.0,0.0,9108.72,6607.69,1.0
p[113],0.88,0.01,0.86,0.9,0.0,0.0,9104.63,7200.68,1.0
p[114],0.9,0.01,0.89,0.92,0.0,0.0,9107.74,6635.04,1.0
p[115],0.9,0.01,0.89,0.92,0.0,0.0,9107.74,6635.04,1.0
p[116],0.87,0.02,0.85,0.9,0.0,0.0,9854.78,6593.05,1.0
p[117],0.96,0.01,0.94,0.97,0.0,0.0,10741.04,6632.8,1.0
p[118],0.88,0.01,0.86,0.9,0.0,0.0,9100.39,7166.24,1.0
p[119],0.89,0.01,0.86,0.91,0.0,0.0,9998.91,6844.34,1.0
p[120],0.88,0.01,0.86,0.9,0.0,0.0,9099.79,7166.24,1.0
p[121],0.89,0.01,0.86,0.91,0.0,0.0,9998.91,6844.34,1.0
p[122],0.91,0.02,0.88,0.95,0.0,0.0,10454.85,6010.44,1.0
p[123],0.86,0.02,0.82,0.91,0.0,0.0,11928.23,6573.31,1.0
p[124],0.78,0.02,0.74,0.81,0.0,0.0,9424.27,6896.12,1.0
p[125],0.9,0.01,0.89,0.92,0.0,0.0,9109.4,6531.7,1.0
p[126],0.88,0.01,0.86,0.9,0.0,0.0,9093.52,7234.55,1.0
p[127],0.91,0.01,0.89,0.93,0.0,0.0,10452.05,6471.9,1.0
p[128],0.78,0.02,0.74,0.81,0.0,0.0,9424.54,6990.24,1.0
p[129],0.89,0.02,0.85,0.93,0.0,0.0,10472.62,6430.29,1.0
p[130],0.88,0.01,0.87,0.9,0.0,0.0,9087.51,7166.71,1.0
p[131],0.88,0.01,0.87,0.9,0.0,0.0,9087.53,7200.98,1.0
p[132],0.89,0.01,0.86,0.91,0.0,0.0,9999.14,6844.3,1.0
p[133],0.9,0.01,0.89,0.92,0.0,0.0,9118.8,6364.85,1.0
p[134],0.9,0.01,0.89,0.92,0.0,0.0,9119.38,6338.31,1.0
p[135],0.88,0.01,0.87,0.9,0.0,0.0,9083.52,7133.37,1.0
p[136],0.9,0.01,0.89,0.92,0.0,0.0,9118.59,6260.44,1.0
p[137],0.91,0.01,0.9,0.93,0.0,0.0,10449.7,6458.38,1.0
p[138],0.9,0.01,0.89,0.92,0.0,0.0,9119.87,6260.44,1.0
p[139],0.91,0.01,0.89,0.92,0.0,0.0,9120.36,6277.31,1.0
p[140],0.93,0.01,0.91,0.95,0.0,0.0,11590.08,6702.31,1.0
p[141],0.91,0.01,0.89,0.92,0.0,0.0,9120.66,6278.02,1.0
p[142],0.88,0.01,0.87,0.9,0.0,0.0,9080.86,7133.16,1.0
p[143],0.78,0.02,0.75,0.81,0.0,0.0,9433.52,7157.86,1.0
p[144],0.96,0.01,0.94,0.97,0.0,0.0,10730.53,6781.45,1.0
p[145],0.93,0.01,0.92,0.95,0.0,0.0,9436.36,6365.24,1.0
p[146],0.88,0.01,0.87,0.9,0.0,0.0,9080.35,7127.48,1.0
p[147],0.87,0.01,0.85,0.9,0.0,0.0,9268.82,6855.12,1.0
p[148],0.87,0.01,0.85,0.9,0.0,0.0,9268.82,6855.12,1.0
p[149],0.88,0.01,0.87,0.9,0.0,0.0,9077.46,7132.17,1.0
p[150],0.91,0.01,0.89,0.92,0.0,0.0,9115.96,6304.36,1.0
p[151],0.92,0.02,0.88,0.95,0.0,0.0,10389.93,5905.39,1.0
p[152],0.78,0.02,0.75,0.82,0.0,0.0,9433.79,7365.47,1.0
p[153],0.89,0.02,0.86,0.93,0.0,0.0,10471.92,6375.76,1.0
p[154],0.91,0.01,0.9,0.92,0.0,0.0,9121.46,6201.99,1.0
p[155],0.88,0.01,0.85,0.91,0.0,0.0,9860.63,6579.34,1.0
p[156],0.91,0.01,0.9,0.92,0.0,0.0,9122.21,6227.4,1.0
p[157],0.87,0.01,0.85,0.9,0.0,0.0,9267.81,7076.0,1.0
p[158],0.89,0.01,0.87,0.9,0.0,0.0,9071.76,7097.98,1.0
p[159],0.91,0.01,0.9,0.92,0.0,0.0,9122.34,6201.65,1.0
p[160],0.79,0.02,0.75,0.82,0.0,0.0,9435.89,7266.25,1.0
p[161],0.89,0.01,0.87,0.9,0.0,0.0,9071.27,7031.95,1.0
p[162],0.89,0.01,0.87,0.9,0.0,0.0,9071.27,7031.95,1.0
p[163],0.89,0.01,0.87,0.92,0.0,0.0,9997.06,6753.74,1.0
p[164],0.91,0.01,0.9,0.92,0.0,0.0,9127.07,6180.48,1.0
p[165],0.91,0.01,0.9,0.92,0.0,0.0,9127.75,6180.48,1.0
p[166],0.91,0.01,0.9,0.92,0.0,0.0,9128.98,6180.48,1.0
p[167],0.91,0.01,0.9,0.92,0.0,0.0,9128.98,6180.48,1.0
p[168],0.92,0.01,0.9,0.94,0.0,0.0,10453.7,6514.08,1.0
p[169],0.92,0.01,0.9,0.94,0.0,0.0,10454.33,6513.81,1.0
p[170],0.95,0.01,0.94,0.96,0.0,0.0,9256.57,6854.57,1.0
p[171],0.87,0.02,0.83,0.91,0.0,0.0,11919.72,6327.03,1.0
p[172],0.92,0.02,0.89,0.95,0.0,0.0,10332.62,5907.55,1.0
p[173],0.96,0.01,0.94,0.97,0.0,0.0,10715.86,6903.92,1.0
p[174],0.91,0.01,0.9,0.92,0.0,0.0,9138.51,6218.1,1.0
p[175],0.94,0.01,0.92,0.95,0.0,0.0,11576.08,6791.19,1.0
p[176],0.96,0.01,0.94,0.97,0.0,0.0,11064.73,6365.42,1.0
p[177],0.89,0.01,0.87,0.9,0.0,0.0,9059.61,6921.17,1.0
p[178],0.87,0.02,0.83,0.91,0.0,0.0,11919.61,6326.82,1.0
p[179],0.79,0.02,0.76,0.82,0.0,0.0,9440.32,7307.15,1.0
p[180],0.91,0.01,0.9,0.92,0.0,0.0,9139.65,6212.29,1.0
p[181],0.92,0.01,0.9,0.94,0.0,0.0,10454.88,6542.03,1.0
p[182],0.92,0.01,0.9,0.94,0.0,0.0,10455.59,6542.34,1.0
p[183],0.9,0.02,0.86,0.93,0.0,0.0,10471.83,6343.45,1.0
p[184],0.89,0.01,0.87,0.9,0.0,0.0,9056.68,6952.56,1.0
p[185],0.91,0.01,0.9,0.92,0.0,0.0,9145.91,6236.74,1.0
p[186],0.9,0.01,0.87,0.92,0.0,0.0,9997.23,6753.18,1.0
p[187],0.91,0.01,0.9,0.92,0.0,0.0,9148.53,6236.7,1.0
p[188],0.89,0.01,0.87,0.91,0.0,0.0,9056.99,6983.6,1.0
p[189],0.88,0.01,0.86,0.9,0.0,0.0,9276.4,7399.76,1.0
p[190],0.88,0.01,0.86,0.9,0.0,0.0,9276.4,7399.76,1.0
p[191],0.91,0.01,0.9,0.92,0.0,0.0,9148.88,6262.78,1.0
p[192],0.94,0.01,0.92,0.95,0.0,0.0,11573.21,6731.28,1.0
p[193],0.91,0.01,0.9,0.92,0.0,0.0,9148.88,6262.78,1.0
p[194],0.91,0.01,0.9,0.92,0.0,0.0,9149.47,6262.78,1.0
p[195],0.9,0.01,0.87,0.92,0.0,0.0,9995.39,6753.0,1.0
p[196],0.95,0.01,0.94,0.96,0.0,0.0,9253.89,6643.5,1.0
p[197],0.92,0.01,0.9,0.94,0.0,0.0,10456.55,6598.68,1.0
p[198],0.79,0.02,0.76,0.83,0.0,0.0,9446.34,7189.35,1.0
p[199],0.89,0.01,0.88,0.91,0.0,0.0,9054.18,7013.31,1.0
p[200],0.92,0.02,0.89,0.95,0.0,0.0,10273.57,5932.54,1.0
p[201],0.89,0.01,0.86,0.91,0.0,0.0,9863.04,6606.81,1.0
p[202],0.91,0.01,0.9,0.92,0.0,0.0,9162.33,6428.01,1.0
p[203],0.9,0.01,0.88,0.92,0.0,0.0,9999.27,6723.76,1.0
p[204],0.89,0.01,0.88,0.91,0.0,0.0,9051.11,7131.68,1.0
p[205],0.91,0.01,0.9,0.92,0.0,0.0,9167.51,6360.57,1.0
p[206],0.88,0.02,0.84,0.91,0.0,0.0,11913.92,6355.73,1.0
p[207],0.8,0.02,0.77,0.83,0.0,0.0,9450.43,7315.17,1.0
p[208],0.91,0.01,0.9,0.93,0.0,0.0,9169.84,6334.52,1.0
p[209],0.91,0.01,0.9,0.93,0.0,0.0,9169.84,6334.52,1.0
p[210],0.92,0.01,0.9,0.94,0.0,0.0,10453.52,6598.84,1.0
p[211],0.9,0.02,0.86,0.93,0.0,0.0,10474.24,6395.7,1.0
p[212],0.89,0.01,0.88,0.91,0.0,0.0,9049.29,7104.21,1.0
p[213],0.91,0.01,0.9,0.93,0.0,0.0,9178.85,6342.41,1.0
p[214],0.88,0.01,0.86,0.91,0.0,0.0,9276.16,7509.62,1.0
p[215],0.89,0.01,0.88,0.91,0.0,0.0,9049.15,7098.42,1.0
p[216],0.91,0.01,0.9,0.93,0.0,0.0,9184.63,6303.36,1.0
p[217],0.91,0.01,0.9,0.93,0.0,0.0,9185.75,6277.34,1.0
p[218],0.92,0.01,0.91,0.94,0.0,0.0,10452.08,6684.47,1.0
p[219],0.95,0.01,0.94,0.96,0.0,0.0,9241.71,6798.85,1.0
p[220],0.91,0.01,0.9,0.93,0.0,0.0,9186.95,6277.34,1.0
p[221],0.91,0.01,0.9,0.93,0.0,0.0,9188.04,6277.34,1.0
p[222],0.9,0.01,0.88,0.91,0.0,0.0,9052.09,7088.8,1.0
p[223],0.9,0.01,0.88,0.91,0.0,0.0,9052.48,7088.8,1.0
p[224],0.92,0.01,0.9,0.93,0.0,0.0,9192.51,6277.34,1.0
p[225],0.94,0.01,0.92,0.96,0.0,0.0,11547.94,6641.66,1.0
p[226],0.8,0.02,0.77,0.83,0.0,0.0,9458.04,7083.03,1.0
p[227],0.92,0.01,0.9,0.93,0.0,0.0,9195.03,6211.71,1.0
p[228],0.9,0.01,0.88,0.91,0.0,0.0,9053.22,7122.09,1.0
p[229],0.89,0.01,0.87,0.91,0.0,0.0,9870.97,6530.2,1.0
p[230],0.93,0.02,0.9,0.96,0.0,0.0,10200.81,6178.69,1.0
p[231],0.88,0.02,0.84,0.92,0.0,0.0,11903.45,6382.44,1.0
p[232],0.9,0.01,0.88,0.91,0.0,0.0,9055.73,7015.27,1.0
p[233],0.95,0.01,0.94,0.96,0.0,0.0,9238.76,6590.89,1.0
p[234],0.92,0.01,0.91,0.93,0.0,0.0,9199.02,6201.22,1.0
p[235],0.8,0.02,0.77,0.83,0.0,0.0,9464.65,6889.86,1.0
p[236],0.92,0.01,0.91,0.94,0.0,0.0,10446.18,6649.28,1.0
p[237],0.92,0.01,0.91,0.93,0.0,0.0,9203.0,6202.09,1.0
p[238],0.9,0.02,0.87,0.94,0.0,0.0,10478.56,6396.4,1.0
p[239],0.92,0.01,0.91,0.93,0.0,0.0,9204.46,6227.46,1.0
p[240],0.9,0.01,0.88,0.91,0.0,0.0,9058.7,7052.13,1.0
p[241],0.89,0.01,0.86,0.91,0.0,0.0,9287.47,7622.25,1.0
p[242],0.89,0.01,0.86,0.91,0.0,0.0,9287.47,7622.25,1.0
p[243],0.92,0.01,0.91,0.93,0.0,0.0,9210.18,6215.46,1.0
p[244],0.92,0.01,0.91,0.93,0.0,0.0,9211.93,6215.42,1.0
p[245],0.9,0.01,0.88,0.91,0.0,0.0,9058.28,6965.31,1.0
p[246],0.92,0.01,0.91,0.93,0.0,0.0,9212.67,6215.42,1.0
p[247],0.94,0.01,0.93,0.95,0.0,0.0,9464.7,6342.13,1.0
p[248],0.92,0.01,0.91,0.93,0.0,0.0,9213.34,6292.83,1.0
p[249],0.93,0.01,0.91,0.94,0.0,0.0,10445.24,6620.28,1.0
p[250],0.9,0.01,0.88,0.91,0.0,0.0,9057.97,6965.73,1.0
p[251],0.81,0.02,0.78,0.84,0.0,0.0,9475.44,7049.16,1.0
p[252],0.92,0.01,0.91,0.93,0.0,0.0,9217.02,6293.23,1.0
p[253],0.95,0.01,0.95,0.96,0.0,0.0,9236.51,6504.04,1.0
p[254],0.9,0.01,0.88,0.91,0.0,0.0,9060.57,6769.35,1.0
p[255],0.94,0.01,0.93,0.95,0.0,0.0,9467.85,6341.91,1.0
p[256],0.89,0.01,0.87,0.92,0.0,0.0,9880.15,6574.39,1.0
p[257],0.92,0.01,0.91,0.93,0.0,0.0,9221.12,6370.89,1.0
p[258],0.93,0.02,0.9,0.96,0.0,0.0,10142.76,6145.75,1.0
p[259],0.9,0.01,0.89,0.91,0.0,0.0,9060.08,6738.31,1.0
p[260],0.92,0.01,0.91,0.93,0.0,0.0,9224.21,6388.25,1.0
p[261],0.9,0.01,0.89,0.91,0.0,0.0,9061.92,6710.81,1.0
p[262],0.81,0.02,0.78,0.84,0.0,0.0,9486.24,7147.65,1.0
p[263],0.92,0.01,0.91,0.93,0.0,0.0,9229.49,6348.24,1.0
p[264],0.91,0.01,0.88,0.93,0.0,0.0,9999.27,6724.15,1.0
p[265],0.91,0.01,0.88,0.93,0.0,0.0,9999.27,6724.15,1.0
p[266],0.93,0.01,0.91,0.94,0.0,0.0,10442.69,6620.0,1.0
