,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
train_cat_sigma,0.33,0.15,0.11,0.6,0.0,0.0,2684.17,3724.83,1.0
train_cat_eff[HighSpeed],0.3,0.04,0.22,0.38,0.0,0.0,7376.06,5858.89,1.0
train_cat_eff[Regional],-0.11,0.04,-0.19,-0.02,0.0,0.0,3868.18,5150.13,1.0
train_cat_eff[S-Bahn],-0.19,0.04,-0.27,-0.1,0.0,0.0,5441.67,5104.46,1.0
