weekday_cat,hour_3h_bin,train_cat,y,n,days_until_xmas_z_mean
4,03-05,HighSpeed,11,13,-0.14490863855088348
4,03-05,Regional,19,26,0.3030639773383453
4,03-05,S-Bahn,13,23,-0.18126583636218316
4,06-08,HighSpeed,37,52,0.01934798727516708
4,06-08,Regional,140,156,0.29310903031858465
4,06-08,S-Bahn,55,66,-0.04264418280243326
4,09-11,HighSpeed,70,77,-0.02079501336945212
4,09-11,Regional,142,177,0.1513775812236874
4,09-11,S-Bahn,60,71,0.009883777080324221
4,12-14,HighSpeed,53,63,-0.06337288200808204
4,12-14,Regional,145,181,0.14812980189820318
4,12-14,S-Bahn,56,74,-0.027063590046689952
4,15-17,HighSpeed,70,77,-0.040963477461434715
4,15-17,Regional,153,175,0.1397459608027293
4,15-17,S-Bahn,60,76,-0.0262351911837369
4,18-20,HighSpeed,69,74,-0.12150106042333818
4,18-20,Regional,156,174,0.10259194080247588
4,18-20,S-Bahn,55,67,-0.1056831756670505
4,21-23,HighSpeed,72,79,0.08796151451896034
4,21-23,Regional,112,129,0.019463742473071276
4,21-23,S-Bahn,47,57,-0.09775362635201729
5,00-02,HighSpeed,19,22,0.06996307504446958
5,00-02,Regional,53,61,-0.13833417705305556
5,00-02,S-Bahn,22,34,-0.2207000839282207
5,03-05,HighSpeed,7,13,-0.13637582681966
5,03-05,Regional,19,25,0.002197035695408056
5,03-05,S-Bahn,21,28,-0.18970590013980632
5,06-08,HighSpeed,36,48,-0.09033419685326706
5,06-08,Regional,83,118,0.07773989806298828
5,06-08,S-Bahn,43,51,-0.25115051010631206
5,09-11,HighSpeed,80,86,-0.08845317488732393
5,09-11,Regional,142,180,0.014275704746050971
5,09-11,S-Bahn,40,48,-0.30063245264571054
5,12-14,HighSpeed,56,65,-0.24388925463307493
5,12-14,Regional,153,183,0.001687864634725226
5,12-14,S-Bahn,35,48,-0.30063245264571054
5,15-17,HighSpeed,76,84,-0.12499874451136217
5,15-17,Regional,165,184,-0.01789031609533503
5,15-17,S-Bahn,43,53,-0.24569241484797497
5,18-20,HighSpeed,68,75,-0.1531001378128579
5,18-20,Regional,167,186,-0.006319260916335554
5,18-20,S-Bahn,42,53,-0.21639106135584932
5,21-23,HighSpeed,59,70,-0.12869629626155896
5,21-23,Regional,106,128,-0.021582843998045165
5,21-23,S-Bahn,40,58,-0.213612484731596
6,00-02,HighSpeed,16,19,0.04820236378733044
6,00-02,Regional,46,60,-0.2174375382662824
6,00-02,S-Bahn,25,32,-0.26596790498761547
6,03-05,HighSpeed,6,10,-0.37273471177454837
6,03-05,Regional,7,18,0.04139108424749422
6,03-05,S-Bahn,20,27,-0.34685184952317066
6,06-08,HighSpeed,23,41,-0.17009083902595737
6,06-08,Regional,40,62,-0.029578054183702594
6,06-08,S-Bahn,24,43,-0.3709289306872429
6,09-11,HighSpeed,63,70,-0.16197426201333026
6,09-11,Regional,101,134,-0.060981430627357724
6,09-11,S-Bahn,34,52,-0.35182932303305103
6,12-14,HighSpeed,54,57,-0.21062625872644614
6,12-14,Regional,109,134,-0.06677610128065121
6,12-14,S-Bahn,40,53,-0.37126964409994206
6,15-17,HighSpeed,55,65,-0.23535644290185154
6,15-17,Regional,114,134,-0.10154412520041226
6,15-17,S-Bahn,39,51,-0.36207706261221634
6,18-20,HighSpeed,62,70,-0.1841595725145111
6,18-20,Regional,131,144,-0.08802322700939408
6,18-20,S-Bahn,44,53,-0.37126964409994206
6,21-23,HighSpeed,57,64,-0.22957012994661566
6,21-23,Regional,84,116,-0.09694835192366223
6,21-23,S-Bahn,41,56,-0.32836409077218665
