weekday_cat,hour_3h_bin,train_cat,y,n,days_until_xmas_z_mean
0,00-02,HighSpeed,27,29,0.2473064661981096
0,00-02,Regional,35,45,0.4912598805214393
0,00-02,S-Bahn,30,43,0.023763221252369893
0,03-05,HighSpeed,13,19,0.05987884299847827
0,03-05,Regional,25,43,0.2223991408559659
0,03-05,S-Bahn,21,33,0.012819093450518874
0,06-08,HighSpeed,49,64,0.023481067957478424
0,06-08,Regional,168,224,0.18467121456762056
0,06-08,S-Bahn,88,103,-0.05320162314831735
0,09-11,HighSpeed,95,102,-0.03147243553579584
0,09-11,Regional,180,215,0.15739102171297084
0,09-11,S-Bahn,69,86,-0.13875707660511777
0,12-14,HighSpeed,79,86,0.032792126688896986
0,12-14,Regional,202,224,0.24360094558638218
0,12-14,S-Bahn,87,102,-0.08476068134745574
0,15-17,HighSpeed,97,103,-0.02304683217583852
0,15-17,Regional,198,224,0.22626867175733464
0,15-17,S-Bahn,90,102,-0.10759850098102426
0,18-20,HighSpeed,96,100,0.16082200577885114
0,18-20,Regional,206,228,0.20972699287487526
0,18-20,S-Bahn,82,87,-0.09184828054408045
0,21-23,HighSpeed,73,82,0.012532143758153272
0,21-23,Regional,132,164,0.15457224147912824
0,21-23,S-Bahn,58,68,-0.00863461590222732
1,00-02,HighSpeed,21,24,-0.11575486513587015
1,00-02,Regional,36,41,0.10046172806161396
1,00-02,S-Bahn,25,39,-0.2501466499026388
1,03-05,HighSpeed,16,19,-0.13278306398546072
1,03-05,Regional,26,45,0.035228497997166215
1,03-05,S-Bahn,13,28,-0.05104770950742599
1,06-08,HighSpeed,48,64,-0.026782526146759432
1,06-08,Regional,191,229,0.10153684961641612
1,06-08,S-Bahn,89,102,-0.1423989880417001
1,09-11,HighSpeed,92,104,-0.1182436018908103
1,09-11,Regional,181,215,0.05007603138167743
1,09-11,S-Bahn,77,91,-0.07664614470109621
1,12-14,HighSpeed,75,84,-0.060291588882918
1,12-14,Regional,189,224,0.07721111682752582
1,12-14,S-Bahn,85,100,-0.10540172023531909
1,15-17,HighSpeed,89,96,-0.07531289286809255
1,15-17,Regional,180,213,0.014570814510151183
1,15-17,S-Bahn,87,106,-0.21953049208714853
1,18-20,HighSpeed,88,98,-0.10651098576037812
1,18-20,Regional,191,213,0.021861761623215313
1,18-20,S-Bahn,80,88,-0.12163733382936508
1,21-23,HighSpeed,80,89,-0.07722139043578542
1,21-23,Regional,123,143,0.14986122125501602
1,21-23,S-Bahn,54,67,-0.20170914649305718
2,00-02,HighSpeed,16,20,-0.006677088505064321
2,00-02,Regional,42,56,-0.3006324526457106
2,00-02,S-Bahn,31,40,-0.39492002227572925
2,03-05,HighSpeed,13,18,-0.1619742620133303
2,03-05,Regional,23,34,0.13491739322306054
2,03-05,S-Bahn,24,32,-0.35609572889866276
2,06-08,HighSpeed,44,56,-0.18970590013980634
2,06-08,Regional,151,185,0.23256450311577784
2,06-08,S-Bahn,58,79,-0.15214532698116154
2,09-11,HighSpeed,80,90,-0.23099522801700406
2,09-11,Regional,160,203,-0.020447281229935194
2,09-11,S-Bahn,59,78,-0.1619742620133303
2,12-14,HighSpeed,70,80,-0.30756536217732966
2,12-14,Regional,172,211,-0.025813233107978614
2,12-14,S-Bahn,76,88,-0.056089825530421675
2,15-17,HighSpeed,80,90,-0.2741333317693001
2,15-17,Regional,177,210,-0.03255995075644198
2,15-17,S-Bahn,78,86,-0.09877192395764064
2,18-20,HighSpeed,90,99,-0.2639370527005756
2,18-20,Regional,177,207,0.0030758740824113184
2,18-20,S-Bahn,59,74,-0.27739783691812253
2,21-23,HighSpeed,75,86,-0.17100316744985736
2,21-23,Regional,124,156,-0.032559950756441976
2,21-23,S-Bahn,58,66,-0.338448322818178
3,00-02,HighSpeed,17,19,0.1766436351099564
3,00-02,Regional,32,39,-0.13353155624258561
3,00-02,S-Bahn,16,28,-0.05104770950742602
3,03-05,HighSpeed,12,14,0.17080539550438248
3,03-05,Regional,20,27,0.35979137384777493
3,03-05,S-Bahn,17,22,0.009457682768521759
3,06-08,HighSpeed,34,45,0.037693532497297386
3,06-08,Regional,119,146,0.3546699551374567
3,06-08,S-Bahn,44,56,0.1708053955043825
3,09-11,HighSpeed,70,82,0.14375013879562537
3,09-11,Regional,145,175,0.2906060722107591
3,09-11,S-Bahn,44,60,0.19299070600556334
3,12-14,HighSpeed,55,62,0.052722291223903775
3,12-14,Regional,156,176,0.24328581333494495
3,12-14,S-Bahn,49,64,0.1638724859727635
3,15-17,HighSpeed,66,77,-0.0813004056453999
3,15-17,Regional,146,171,0.27654240169422106
3,15-17,S-Bahn,56,66,0.11534211925143037
3,18-20,HighSpeed,70,78,0.11534211925143037
3,18-20,Regional,138,167,0.2106592467041086
3,18-20,S-Bahn,47,55,0.08004730709046083
3,21-23,HighSpeed,57,64,0.0425465691694307
3,21-23,Regional,105,127,0.22233820336145613
3,21-23,S-Bahn,34,47,0.024476751773189646
4,00-02,HighSpeed,20,22,0.004415566745526123
4,00-02,Regional,36,46,-0.13062545369644427
4,00-02,S-Bahn,17,29,-0.19639974382550746
