,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[hour_dec],0.15,0.01,0.13,0.16,0.0,0.0,10523.49,5534.42,1.0
beta[days_until_xmas],0.22,0.01,0.2,0.24,0.0,0.0,11171.24,5209.77,1.0
intercept,1.49,0.02,1.46,1.52,0.0,0.0,11115.63,4363.76,1.0
weekday_cat_raw[0],0.01,0.19,-0.34,0.36,0.0,0.0,2133.9,3342.7,1.0
weekday_cat_raw[1],0.03,0.19,-0.33,0.38,0.0,0.0,2135.12,3166.35,1.0
weekday_cat_raw[2],-0.02,0.19,-0.38,0.32,0.0,0.0,2206.58,3227.37,1.0
weekday_cat_raw[3],0.17,0.19,-0.19,0.52,0.0,0.0,2143.54,3122.51,1.0
weekday_cat_raw[4],0.01,0.19,-0.33,0.38,0.0,0.0,2176.8,2969.55,1.0
weekday_cat_raw[5],-0.09,0.19,-0.42,0.28,0.0,0.0,2198.9,3350.3,1.0
weekday_cat_raw[6],-0.14,0.19,-0.5,0.2,0.0,0.0,2230.62,3340.02,1.0
dest_top_raw[Berlin Ostbahnhof],-0.13,0.16,-0.42,0.18,0.0,0.0,1933.8,2885.06,1.0
dest_top_raw[Duisburg Hbf],0.25,0.15,-0.04,0.55,0.0,0.0,1938.8,2921.13,1.0
dest_top_raw[Düsseldorf Hbf],0.26,0.15,-0.02,0.56,0.0,0.0,1819.64,2543.41,1.0
dest_top_raw[Essen Hbf],-0.16,0.16,-0.45,0.14,0.0,0.0,1904.88,2844.3,1.0
dest_top_raw[Hamm(Westf)Hbf],0.67,0.15,0.37,0.95,0.0,0.0,1881.18,2632.82,1.0
dest_top_raw[Iserlohn],-0.33,0.16,-0.64,-0.05,0.0,0.0,1860.31,3078.68,1.0
dest_top_raw[Lüdenscheid],-0.19,0.16,-0.48,0.11,0.0,0.0,1871.6,2784.18,1.0
dest_top_raw[Other],0.07,0.15,-0.22,0.35,0.0,0.0,1759.75,2493.34,1.0
dest_top_raw[Recklinghausen Hbf],-0.04,0.16,-0.35,0.26,0.0,0.0,2016.3,3071.23,1.0
dest_top_raw[Soest],-0.05,0.15,-0.35,0.23,0.0,0.0,1861.66,2726.57,1.0
dest_top_raw[Solingen Hbf],-0.34,0.16,-0.64,-0.05,0.0,0.0,1981.89,2984.92,1.0
train_cat_offset[HighSpeed],1.32,0.72,-0.01,2.66,0.01,0.01,5259.44,5195.53,1.0
train_cat_offset[Regional],-0.56,0.61,-1.75,0.52,0.01,0.01,4206.66,4348.38,1.0
train_cat_offset[S-Bahn],-0.77,0.63,-1.94,0.44,0.01,0.01,4289.96,4539.72,1.0
sigma,1.06,0.01,1.04,1.07,0.0,0.0,12194.18,4891.42,1.0
train_cat_sigma,0.46,0.16,0.22,0.75,0.0,0.0,5632.5,5459.67,1.0
weekday_cat_eff[0],0.01,0.02,-0.03,0.05,0.0,0.0,8554.57,5386.5,1.0
weekday_cat_eff[1],0.04,0.02,-0.01,0.08,0.0,0.0,8300.32,5552.33,1.0
weekday_cat_eff[2],-0.01,0.02,-0.06,0.03,0.0,0.0,8102.94,5845.58,1.0
weekday_cat_eff[3],0.18,0.03,0.13,0.23,0.0,0.0,8240.05,5705.67,1.0
weekday_cat_eff[4],0.02,0.02,-0.03,0.06,0.0,0.0,8376.82,5945.04,1.0
weekday_cat_eff[5],-0.09,0.03,-0.14,-0.04,0.0,0.0,8277.54,5280.22,1.0
weekday_cat_eff[6],-0.14,0.03,-0.19,-0.08,0.0,0.0,8783.79,5438.0,1.0
dest_top_eff[Berlin Ostbahnhof],-0.14,0.05,-0.24,-0.03,0.0,0.0,9578.31,5301.51,1.0
dest_top_eff[Duisburg Hbf],0.25,0.05,0.16,0.35,0.0,0.0,9316.6,6303.86,1.0
dest_top_eff[Düsseldorf Hbf],0.26,0.04,0.19,0.34,0.0,0.0,9461.93,4918.76,1.0
dest_top_eff[Essen Hbf],-0.16,0.05,-0.26,-0.06,0.0,0.0,10315.96,7065.01,1.0
dest_top_eff[Hamm(Westf)Hbf],0.66,0.04,0.58,0.75,0.0,0.0,9257.65,6512.63,1.0
dest_top_eff[Iserlohn],-0.33,0.05,-0.43,-0.23,0.0,0.0,8308.02,5929.86,1.0
dest_top_eff[Lüdenscheid],-0.19,0.05,-0.29,-0.09,0.0,0.0,8622.49,5946.23,1.0
dest_top_eff[Other],0.07,0.02,0.03,0.11,0.0,0.0,9649.94,7175.13,1.0
dest_top_eff[Recklinghausen Hbf],-0.05,0.06,-0.16,0.07,0.0,0.0,9662.83,6201.01,1.0
dest_top_eff[Soest],-0.06,0.04,-0.14,0.02,0.0,0.0,9184.17,5824.21,1.0
dest_top_eff[Solingen Hbf],-0.34,0.06,-0.44,-0.23,0.0,0.0,9164.34,6977.97,1.0
train_cat_raw_eff[HighSpeed],0.55,0.28,0.01,1.08,0.0,0.0,4474.93,4504.99,1.0
train_cat_raw_eff[Regional],-0.23,0.28,-0.75,0.32,0.0,0.0,4426.51,4505.48,1.0
train_cat_raw_eff[S-Bahn],-0.32,0.28,-0.91,0.18,0.0,0.0,4499.41,4249.14,1.0
train_cat_eff[HighSpeed],0.55,0.02,0.51,0.6,0.0,0.0,9428.52,6628.71,1.0
train_cat_eff[Regional],-0.23,0.02,-0.27,-0.19,0.0,0.0,9759.29,7362.23,1.0
train_cat_eff[S-Bahn],-0.32,0.03,-0.39,-0.26,0.0,0.0,10339.76,6584.82,1.0
