,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
train_cat_sigma,0.33,0.15,0.1,0.6,0.0,0.0,4414.77,4987.66,1.0
train_cat_eff[HighSpeed],-0.29,0.06,-0.41,-0.18,0.0,0.0,7067.19,6166.2,1.0
train_cat_eff[Regional],0.1,0.04,0.03,0.17,0.0,0.0,7475.15,7093.49,1.0
train_cat_eff[S-Bahn],0.19,0.04,0.12,0.27,0.0,0.0,8033.57,6175.78,1.0
