,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[days_until_xmas_z_mean],0.43,0.25,-0.05,0.91,0.0,0.0,3297.45,3450.49,1.0
intercept,1.55,0.03,1.5,1.61,0.0,0.0,3797.5,4368.3,1.0
weekday_cat_raw[0],0.14,0.2,-0.26,0.51,0.01,0.0,1560.4,2180.9,1.0
weekday_cat_raw[1],0.13,0.2,-0.24,0.52,0.01,0.0,1582.75,2161.64,1.0
weekday_cat_raw[2],0.0,0.2,-0.38,0.38,0.0,0.0,1619.88,2470.81,1.0
weekday_cat_raw[3],-0.1,0.21,-0.49,0.28,0.01,0.0,1659.49,2476.15,1.0
weekday_cat_raw[4],0.04,0.2,-0.33,0.43,0.0,0.0,1671.09,2355.6,1.0
weekday_cat_raw[5],0.0,0.2,-0.37,0.38,0.0,0.0,1641.43,2310.18,1.0
weekday_cat_raw[6],-0.22,0.21,-0.61,0.17,0.01,0.0,1660.32,2429.69,1.0
hour_3h_bin_raw[00-02],-0.19,0.19,-0.55,0.18,0.0,0.0,2024.12,3294.51,1.0
hour_3h_bin_raw[03-05],-0.77,0.19,-1.13,-0.41,0.0,0.0,2101.59,3221.72,1.0
hour_3h_bin_raw[06-08],-0.25,0.18,-0.59,0.1,0.0,0.0,1893.14,2595.97,1.0
hour_3h_bin_raw[09-11],0.04,0.18,-0.3,0.38,0.0,0.0,1853.5,2565.21,1.0
hour_3h_bin_raw[12-14],0.18,0.18,-0.17,0.52,0.0,0.0,1904.47,2863.38,1.0
hour_3h_bin_raw[15-17],0.36,0.19,0.01,0.71,0.0,0.0,1956.46,2704.95,1.0
hour_3h_bin_raw[18-20],0.52,0.19,0.18,0.88,0.0,0.0,1856.33,2762.13,1.0
hour_3h_bin_raw[21-23],0.07,0.18,-0.26,0.43,0.0,0.0,1879.27,3080.68,1.0
train_cat_offset[HighSpeed],1.06,0.74,-0.24,2.54,0.01,0.01,3015.02,3642.05,1.0
train_cat_offset[Regional],-0.42,0.63,-1.57,0.78,0.01,0.01,3141.14,3221.75,1.0
train_cat_offset[S-Bahn],-0.68,0.66,-1.86,0.58,0.01,0.01,2950.48,3671.13,1.0
train_cat_sigma,0.33,0.15,0.11,0.6,0.0,0.0,2684.17,3724.83,1.0
weekday_cat_eff[0],0.14,0.06,0.03,0.25,0.0,0.0,7151.06,5502.74,1.0
weekday_cat_eff[1],0.13,0.05,0.03,0.23,0.0,0.0,11813.11,5407.89,1.0
weekday_cat_eff[2],0.0,0.06,-0.1,0.11,0.0,0.0,8637.42,5781.92,1.0
weekday_cat_eff[3],-0.1,0.07,-0.22,0.05,0.0,0.0,5478.46,5799.94,1.0
weekday_cat_eff[4],0.04,0.06,-0.06,0.16,0.0,0.0,10853.29,5529.84,1.0
weekday_cat_eff[5],0.0,0.06,-0.12,0.11,0.0,0.0,8620.71,5059.06,1.0
weekday_cat_eff[6],-0.22,0.07,-0.35,-0.09,0.0,0.0,6046.06,5840.12,1.0
hour_3h_bin_eff[00-02],-0.18,0.08,-0.33,-0.02,0.0,0.0,9584.59,6079.72,1.0
hour_3h_bin_eff[03-05],-0.77,0.08,-0.92,-0.61,0.0,0.0,9459.78,6472.82,1.0
hour_3h_bin_eff[06-08],-0.24,0.06,-0.35,-0.14,0.0,0.0,9301.08,5883.95,1.0
hour_3h_bin_eff[09-11],0.04,0.05,-0.06,0.15,0.0,0.0,11360.29,5540.19,1.0
hour_3h_bin_eff[12-14],0.19,0.06,0.08,0.29,0.0,0.0,11865.87,5133.31,1.0
hour_3h_bin_eff[15-17],0.36,0.06,0.25,0.46,0.0,0.0,13394.11,5693.83,1.0
hour_3h_bin_eff[18-20],0.53,0.06,0.41,0.64,0.0,0.0,12755.27,5907.21,1.0
hour_3h_bin_eff[21-23],0.07,0.06,-0.04,0.19,0.0,0.0,11669.34,5034.42,1.0
