,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
train_cat_raw_eff[HighSpeed],0.29,0.22,-0.11,0.72,0.0,0.0,3106.44,3283.12,1.0
train_cat_raw_eff[Regional],-0.12,0.22,-0.53,0.3,0.0,0.0,3050.98,3071.3,1.0
train_cat_raw_eff[S-Bahn],-0.19,0.22,-0.62,0.21,0.0,0.0,3082.71,3371.96,1.0
train_cat_eff[HighSpeed],0.3,0.04,0.22,0.38,0.0,0.0,7376.06,5858.89,1.0
train_cat_eff[Regional],-0.11,0.04,-0.19,-0.02,0.0,0.0,3868.18,5150.13,1.0
train_cat_eff[S-Bahn],-0.19,0.04,-0.27,-0.1,0.0,0.0,5441.67,5104.46,1.0
p[0],0.87,0.02,0.84,0.9,0.0,0.0,5490.31,6036.98,1.0
p[1],0.83,0.02,0.8,0.87,0.0,0.0,5415.04,5736.75,1.0
p[2],0.79,0.02,0.76,0.83,0.0,0.0,7790.4,6098.46,1.0
p[3],0.78,0.02,0.74,0.82,0.0,0.0,7720.72,6414.15,1.0
p[4],0.71,0.02,0.67,0.75,0.0,0.0,8655.55,6871.5,1.0
p[5],0.68,0.02,0.63,0.72,0.0,0.0,8190.17,7090.72,1.0
p[6],0.85,0.01,0.83,0.87,0.0,0.0,9581.63,6895.0,1.0
p[7],0.8,0.01,0.78,0.83,0.0,0.0,9850.34,6738.44,1.0
p[8],0.77,0.02,0.75,0.8,0.0,0.0,9505.71,6341.27,1.0
p[9],0.88,0.01,0.86,0.9,0.0,0.0,8775.35,6388.78,1.0
p[10],0.84,0.01,0.82,0.86,0.0,0.0,10059.25,5205.06,1.0
p[11],0.81,0.01,0.79,0.84,0.0,0.0,9578.19,5707.9,1.0
p[12],0.9,0.01,0.88,0.91,0.0,0.0,9407.2,6574.4,1.0
p[13],0.87,0.01,0.85,0.88,0.0,0.0,10947.08,6154.02,1.0
p[14],0.84,0.01,0.82,0.86,0.0,0.0,10914.03,5452.39,1.0
p[15],0.91,0.01,0.9,0.93,0.0,0.0,9689.94,6859.12,1.0
p[16],0.88,0.01,0.87,0.9,0.0,0.0,11209.32,6512.3,1.0
p[17],0.86,0.01,0.84,0.88,0.0,0.0,10708.95,6566.01,1.0
p[18],0.93,0.01,0.92,0.94,0.0,0.0,7448.18,6447.47,1.0
p[19],0.9,0.01,0.89,0.91,0.0,0.0,10765.45,5613.95,1.0
p[20],0.88,0.01,0.86,0.9,0.0,0.0,10307.51,6758.21,1.0
p[21],0.89,0.01,0.87,0.9,0.0,0.0,9711.82,7040.29,1.0
p[22],0.85,0.01,0.83,0.87,0.0,0.0,10934.29,5995.06,1.0
p[23],0.83,0.01,0.8,0.85,0.0,0.0,9680.03,6605.07,1.0
p[24],0.85,0.01,0.83,0.88,0.0,0.0,7664.96,6659.9,1.0
p[25],0.81,0.02,0.78,0.84,0.0,0.0,8868.2,6186.12,1.0
p[26],0.77,0.02,0.73,0.8,0.0,0.0,9355.67,6972.39,1.0
p[27],0.76,0.02,0.72,0.8,0.0,0.0,8234.18,6938.35,1.0
p[28],0.69,0.02,0.65,0.74,0.0,0.0,9618.09,7163.48,1.0
p[29],0.67,0.02,0.63,0.72,0.0,0.0,7983.59,7225.23,1.0
p[30],0.85,0.01,0.83,0.87,0.0,0.0,9497.34,6238.56,1.0
p[31],0.8,0.01,0.78,0.82,0.0,0.0,10711.7,6211.57,1.0
p[32],0.77,0.02,0.74,0.8,0.0,0.0,10123.71,5996.08,1.0
p[33],0.88,0.01,0.86,0.9,0.0,0.0,9012.55,6062.99,1.0
p[34],0.84,0.01,0.82,0.86,0.0,0.0,11299.54,6031.01,1.0
p[35],0.82,0.01,0.79,0.84,0.0,0.0,9820.31,6345.0,1.0
p[36],0.9,0.01,0.88,0.91,0.0,0.0,8239.09,5645.79,1.0
p[37],0.86,0.01,0.84,0.88,0.0,0.0,11487.88,5979.83,1.0
p[38],0.84,0.01,0.82,0.86,0.0,0.0,10104.8,6518.0,1.0
p[39],0.91,0.01,0.89,0.92,0.0,0.0,9537.77,5791.47,1.0
p[40],0.87,0.01,0.86,0.89,0.0,0.0,12270.71,6030.9,1.0
p[41],0.85,0.01,0.83,0.87,0.0,0.0,11491.02,6692.11,1.0
p[42],0.92,0.01,0.91,0.93,0.0,0.0,8853.93,7110.93,1.0
p[43],0.89,0.01,0.88,0.91,0.0,0.0,11331.05,6226.32,1.0
p[44],0.88,0.01,0.86,0.9,0.0,0.0,9459.38,6211.31,1.0
p[45],0.88,0.01,0.86,0.9,0.0,0.0,9279.59,6510.1,1.0
p[46],0.85,0.01,0.82,0.87,0.0,0.0,9657.77,5913.76,1.0
p[47],0.81,0.01,0.79,0.84,0.0,0.0,10620.81,6310.76,1.0
p[48],0.84,0.02,0.81,0.87,0.0,0.0,5753.59,6394.74,1.0
p[49],0.76,0.02,0.71,0.8,0.0,0.0,7271.9,6320.49,1.0
p[50],0.73,0.02,0.69,0.77,0.0,0.0,8860.64,6961.51,1.0
p[51],0.73,0.02,0.69,0.78,0.0,0.0,7966.66,7170.41,1.0
p[52],0.68,0.02,0.63,0.72,0.0,0.0,7421.04,6295.34,1.0
p[53],0.61,0.03,0.55,0.66,0.0,0.0,8578.45,6514.14,1.0
p[54],0.82,0.01,0.8,0.85,0.0,0.0,8996.97,6419.06,1.0
p[55],0.79,0.01,0.76,0.81,0.0,0.0,7496.41,5701.99,1.0
p[56],0.74,0.02,0.71,0.77,0.0,0.0,9426.52,6330.23,1.0
p[57],0.86,0.01,0.84,0.88,0.0,0.0,9000.95,6592.88,1.0
p[58],0.81,0.01,0.79,0.84,0.0,0.0,11058.16,5586.3,1.0
p[59],0.79,0.01,0.76,0.82,0.0,0.0,9777.77,5990.78,1.0
p[60],0.87,0.01,0.85,0.89,0.0,0.0,7656.53,5880.43,1.0
p[61],0.83,0.01,0.81,0.85,0.0,0.0,11408.73,6014.4,1.0
p[62],0.82,0.01,0.8,0.85,0.0,0.0,7038.76,5583.92,1.0
p[63],0.89,0.01,0.87,0.91,0.0,0.0,9134.37,5958.52,1.0
p[64],0.86,0.01,0.84,0.87,0.0,0.0,11628.86,6561.42,1.0
p[65],0.84,0.01,0.82,0.87,0.0,0.0,7844.43,6620.42,1.0
p[66],0.91,0.01,0.89,0.92,0.0,0.0,9365.37,6396.04,1.0
p[67],0.88,0.01,0.86,0.89,0.0,0.0,12114.63,6304.41,1.0
p[68],0.85,0.01,0.83,0.88,0.0,0.0,10806.15,6838.4,1.0
p[69],0.86,0.01,0.84,0.88,0.0,0.0,10313.8,6201.71,1.0
p[70],0.82,0.01,0.79,0.84,0.0,0.0,11986.83,6393.56,1.0
p[71],0.78,0.02,0.76,0.81,0.0,0.0,9940.89,6677.1,1.0
p[72],0.84,0.02,0.81,0.87,0.0,0.0,6974.55,6515.48,1.0
p[73],0.75,0.03,0.7,0.8,0.0,0.0,5842.25,5986.72,1.0
p[74],0.74,0.02,0.7,0.78,0.0,0.0,9032.32,7090.26,1.0
p[75],0.74,0.02,0.7,0.78,0.0,0.0,7737.22,6885.58,1.0
p[76],0.67,0.03,0.63,0.72,0.0,0.0,8336.99,7031.0,1.0
p[77],0.62,0.03,0.57,0.67,0.0,0.0,9282.49,7233.21,1.0
p[78],0.82,0.01,0.79,0.85,0.0,0.0,8219.64,6595.2,1.0
p[79],0.78,0.01,0.75,0.8,0.0,0.0,10484.41,6059.02,1.0
p[80],0.75,0.02,0.72,0.78,0.0,0.0,9420.32,6592.33,1.0
p[81],0.86,0.01,0.84,0.88,0.0,0.0,9432.5,6723.83,1.0
p[82],0.82,0.01,0.8,0.84,0.0,0.0,11156.65,6129.49,1.0
p[83],0.8,0.02,0.77,0.83,0.0,0.0,8416.52,6047.26,1.0
p[84],0.88,0.01,0.86,0.9,0.0,0.0,9104.64,6956.59,1.0
p[85],0.84,0.01,0.82,0.86,0.0,0.0,10734.62,5692.3,1.0
p[86],0.82,0.01,0.79,0.85,0.0,0.0,8740.72,6023.9,1.0
p[87],0.89,0.01,0.87,0.91,0.0,0.0,7379.85,6973.0,1.0
p[88],0.86,0.01,0.84,0.88,0.0,0.0,10613.16,5808.03,1.0
p[89],0.84,0.01,0.82,0.87,0.0,0.0,9324.01,6224.16,1.0
p[90],0.91,0.01,0.9,0.93,0.0,0.0,9240.99,6942.88,1.0
p[91],0.88,0.01,0.86,0.89,0.0,0.0,10520.07,6290.01,1.0
p[92],0.86,0.01,0.84,0.88,0.0,0.0,10049.19,6815.23,1.0
p[93],0.86,0.01,0.84,0.88,0.0,0.0,9923.73,6684.67,1.0
p[94],0.82,0.01,0.8,0.84,0.0,0.0,11048.05,6320.32,1.0
p[95],0.79,0.02,0.77,0.82,0.0,0.0,10584.53,6394.22,1.0
p[96],0.85,0.02,0.82,0.88,0.0,0.0,7133.29,5963.33,1.0
p[97],0.78,0.02,0.74,0.81,0.0,0.0,8041.29,6086.46,1.0
p[98],0.76,0.02,0.72,0.8,0.0,0.0,9189.9,6773.77,1.0
p[99],0.74,0.02,0.7,0.79,0.0,0.0,7892.78,6929.67,1.0
p[100],0.7,0.03,0.65,0.75,0.0,0.0,7370.37,6609.91,1.0
p[101],0.64,0.03,0.58,0.69,0.0,0.0,8975.48,6908.26,1.0
p[102],0.84,0.01,0.82,0.86,0.0,0.0,9511.99,6351.77,1.0
p[103],0.8,0.01,0.77,0.82,0.0,0.0,10478.46,6238.03,1.0
p[104],0.76,0.02,0.73,0.79,0.0,0.0,10368.86,6329.72,1.0
p[105],0.87,0.01,0.85,0.89,0.0,0.0,8894.17,6596.59,1.0
p[106],0.83,0.01,0.81,0.85,0.0,0.0,11815.29,6122.48,1.0
p[107],0.81,0.01,0.78,0.84,0.0,0.0,9451.99,5930.79,1.0
p[108],0.89,0.01,0.87,0.91,0.0,0.0,8681.71,6518.6,1.0
p[109],0.85,0.01,0.83,0.87,0.0,0.0,11950.55,6049.28,1.0
p[110],0.83,0.01,0.8,0.85,0.0,0.0,10023.11,5905.84,1.0
p[111],0.9,0.01,0.89,0.92,0.0,0.0,9213.33,6628.0,1.0
p[112],0.87,0.01,0.85,0.89,0.0,0.0,12432.42,5591.0,1.0
p[113],0.85,0.01,0.83,0.87,0.0,0.0,9887.05,6351.08,1.0
p[114],0.91,0.01,0.9,0.93,0.0,0.0,8292.57,7068.41,1.0
p[115],0.89,0.01,0.87,0.9,0.0,0.0,11054.51,6280.93,1.0
p[116],0.87,0.01,0.85,0.89,0.0,0.0,10304.46,6167.73,1.0
p[117],0.88,0.01,0.86,0.9,0.0,0.0,7632.66,5691.36,1.0
p[118],0.83,0.01,0.8,0.85,0.0,0.0,10224.18,5764.0,1.0
p[119],0.81,0.01,0.78,0.84,0.0,0.0,10284.79,5064.25,1.0
p[120],0.84,0.02,0.81,0.88,0.0,0.0,5169.6,5838.02,1.0
p[121],0.77,0.02,0.73,0.8,0.0,0.0,9845.91,6541.58,1.0
p[122],0.75,0.02,0.71,0.79,0.0,0.0,8486.3,6997.06,1.0
p[123],0.74,0.02,0.69,0.78,0.0,0.0,7604.56,6586.16,1.0
p[124],0.66,0.03,0.62,0.71,0.0,0.0,8807.37,6393.89,1.0
p[125],0.63,0.03,0.57,0.68,0.0,0.0,8524.63,6080.77,1.0
p[126],0.83,0.01,0.8,0.85,0.0,0.0,9732.72,5709.66,1.0
p[127],0.77,0.01,0.75,0.8,0.0,0.0,10583.91,6016.04,1.0
p[128],0.73,0.02,0.7,0.77,0.0,0.0,9735.26,6351.61,1.0
p[129],0.86,0.01,0.84,0.88,0.0,0.0,8640.28,6536.16,1.0
p[130],0.82,0.01,0.79,0.84,0.0,0.0,10945.41,5518.06,1.0
p[131],0.78,0.02,0.75,0.81,0.0,0.0,10783.2,5764.45,1.0
p[132],0.87,0.01,0.85,0.89,0.0,0.0,8521.89,6056.54,1.0
p[133],0.84,0.01,0.81,0.86,0.0,0.0,10677.71,5427.71,1.0
p[134],0.81,0.01,0.78,0.83,0.0,0.0,10394.2,6167.06,1.0
p[135],0.9,0.01,0.88,0.91,0.0,0.0,9533.81,6226.86,1.0
p[136],0.86,0.01,0.84,0.88,0.0,0.0,11680.4,6015.7,1.0
p[137],0.83,0.01,0.81,0.86,0.0,0.0,11481.6,6096.89,1.0
p[138],0.91,0.01,0.89,0.92,0.0,0.0,9463.54,6299.9,1.0
p[139],0.88,0.01,0.86,0.89,0.0,0.0,11419.08,6071.14,1.0
p[140],0.86,0.01,0.84,0.88,0.0,0.0,10873.23,6250.01,1.0
p[141],0.87,0.01,0.84,0.89,0.0,0.0,9306.11,6075.41,1.0
p[142],0.82,0.01,0.79,0.84,0.0,0.0,11082.19,5649.86,1.0
p[143],0.79,0.02,0.76,0.82,0.0,0.0,10257.04,5684.67,1.0
p[144],0.81,0.02,0.77,0.85,0.0,0.0,4584.14,5484.85,1.0
p[145],0.72,0.02,0.68,0.76,0.0,0.0,10209.41,6732.8,1.0
p[146],0.7,0.02,0.65,0.74,0.0,0.0,7832.08,5930.67,1.0
p[147],0.67,0.03,0.62,0.72,0.0,0.0,7959.95,6591.08,1.0
p[148],0.62,0.03,0.56,0.67,0.0,0.0,8050.13,6422.98,1.0
p[149],0.56,0.03,0.5,0.61,0.0,0.0,9324.51,7255.63,1.0
p[150],0.79,0.02,0.76,0.82,0.0,0.0,10114.43,6414.16,1.0
p[151],0.72,0.02,0.69,0.75,0.0,0.0,12166.76,6171.86,1.0
p[152],0.68,0.02,0.64,0.72,0.0,0.0,9651.25,6544.19,1.0
p[153],0.83,0.01,0.81,0.86,0.0,0.0,8519.14,6600.17,1.0
p[154],0.77,0.01,0.75,0.8,0.0,0.0,12083.29,6019.48,1.0
p[155],0.74,0.02,0.71,0.77,0.0,0.0,11451.48,6409.66,1.0
p[156],0.85,0.01,0.83,0.87,0.0,0.0,8912.3,6227.38,1.0
p[157],0.8,0.01,0.77,0.82,0.0,0.0,12129.88,6221.7,1.0
p[158],0.76,0.02,0.73,0.79,0.0,0.0,11463.72,6419.72,1.0
p[159],0.87,0.01,0.85,0.89,0.0,0.0,9702.75,7103.99,1.0
p[160],0.82,0.01,0.8,0.85,0.0,0.0,12290.2,6268.78,1.0
p[161],0.79,0.02,0.76,0.82,0.0,0.0,11279.92,6696.31,1.0
p[162],0.89,0.01,0.87,0.91,0.0,0.0,8126.39,6282.95,1.0
p[163],0.85,0.01,0.83,0.87,0.0,0.0,11144.01,5724.43,1.0
p[164],0.82,0.01,0.79,0.84,0.0,0.0,10674.97,6309.83,1.0
p[165],0.83,0.01,0.81,0.86,0.0,0.0,9373.27,6439.46,1.0
p[166],0.78,0.01,0.75,0.8,0.0,0.0,11561.0,6240.77,1.0
p[167],0.75,0.02,0.71,0.78,0.0,0.0,10285.33,5839.55,1.0
