obs,pareto_shape
0,0.1553604832590756
1,0.22134288999732057
2,-0.012717273568525091
3,0.1992901659103434
4,0.3127067866187269
5,0.28139859175029636
6,0.2297175383642078
7,0.2506145488859706
8,0.33311200236063987
9,0.27544442749957454
10,0.3818451225869708
11,0.2472104747852176
12,0.1863851654167806
13,0.08572075530622346
14,0.16430612404888914
15,0.08090294945564229
16,0.15531162584612312
17,0.15290659909733106
18,0.06722617048304315
19,0.23314471916382998
20,0.09515663442193892
21,0.058404110449876215
22,0.5880351376975986
23,0.20648067282901034
24,0.046756872080498106
25,0.15420712531453032
26,0.207296211577681
27,0.1322349682197588
28,0.14828233057829307
29,0.211448833982448
30,0.2646121321862565
31,0.24790382046637835
32,0.32001102732660447
33,0.19690830794647016
34,0.18493179858775666
35,0.2282276638032058
36,-0.024189337200274802
37,0.31884135787175116
38,0.249048917106475
39,0.06022666027902361
40,0.28269112068143476
41,0.3085655041038553
42,0.1786674411949941
43,0.06608592273123437
44,0.16329207582460956
45,0.13159527271008792
46,0.2584114091855737
47,0.0028530110192709875
48,-0.007128760098457381
49,0.46817775793173666
50,0.23247573985829162
51,0.1763608078679961
52,0.24680693216367683
53,0.26420110808264324
54,0.10305924623607038
55,0.49069712380376596
56,0.12464138640388552
57,0.1539867208256197
58,0.3752926077341865
59,0.23213169945039577
60,0.025664729746974372
61,0.17949403226794505
62,0.30921300135359053
63,0.1061988372288062
64,0.174316199066479
65,0.18407622805845403
66,0.2744262663561916
67,0.20647314666010402
68,0.11969789068433026
69,0.1932615758487785
70,0.2629920469371042
71,0.3792672031738165
72,-0.015235540972224421
73,0.29025423585142623
74,0.08159361456428581
75,0.023684049787571753
76,0.151772410551288
77,0.20261073680055228
78,0.266849583047489
79,0.35060062053593916
80,0.14111243084522815
81,0.1639920754463262
82,0.11232591297606698
83,0.19363074330163393
84,0.09967992722647903
85,0.3977377215035448
86,0.22354828814815286
87,0.20015634389788203
88,0.22865754858579337
89,0.2018477997143253
90,0.08854341740904241
91,0.09268641865851024
92,0.1256554888361617
93,0.14374093685444167
94,0.16532279898090196
95,0.08060158758778778
96,0.021167757180431842
97,0.20278828935029744
98,0.04162113255016189
99,0.0015187235732443019
100,0.00878579335369451
101,0.164632787955466
102,0.252416011296687
103,0.31109132076197255
104,0.055281038815106626
105,0.16265502307758953
106,0.26257764644666115
107,0.19510696418773485
108,0.06563311922562103
109,0.21006620229716258
110,0.14520821808483408
111,-0.0037166531160008126
112,0.3005160482218604
113,0.13225285556670743
114,0.10915180199169591
115,0.17929183722871192
116,-0.00011275277432118948
117,0.14778566411367033
118,0.16662917378097578
119,0.1960922148163874
120,0.0029694867683214793
121,0.41550464880377014
122,0.05522949070569598
123,0.15473597934604388
124,0.31560869189434865
125,0.1295826883543702
126,0.48346073634222114
127,0.30918417415729516
128,0.19492184061820922
129,0.13300664220347277
130,0.2781779028698198
131,0.26572799707744377
132,0.17407166621528192
133,0.18745366554280576
134,0.33019174458643963
135,0.04270580589422672
136,0.2975826125334487
137,0.09396143170823013
138,0.046285807598604775
139,0.38144695487219993
140,0.13140069423227016
141,0.06598206288664141
142,0.20406064204450855
143,0.08781726541960078
144,0.06041894311738868
145,0.08379180390220156
146,0.04955101494197462
147,0.22838837690981798
148,0.06552202596079319
149,0.14557424463174
150,0.3358894164554181
151,0.3924321335530206
152,0.14910777821821544
153,0.43322565135411417
154,0.2557941637129322
155,0.27693794721871484
156,0.19224180762065154
157,0.2005386837785009
158,0.18149690835755325
159,0.12122314858123678
160,0.3793629069729924
161,0.131080221973941
162,0.08816903329273658
163,0.14394737460770388
164,0.17004783169683
165,0.10437421215051841
166,0.3405131788012203
167,0.2764505554082638
