obs_id,pareto_shape
0,-0.10471751571455419
1,-0.07036414128417051
2,-0.038927048837609876
3,-0.17925248588831003
4,-0.062090330672411966
5,-0.008453905093993998
6,-0.09203134643089185
7,-0.06486763019042267
8,-0.11115189852617555
9,-0.14186417494423206
10,0.010736817138386933
11,-0.050699072899175884
12,-0.05361088655591459
13,0.0006736728139515897
14,0.0011171183124532513
15,-0.025464582348077656
16,0.0210924672591525
17,-0.02952267856933774
18,-0.08612202246460336
19,-0.14770076206250704
20,-0.06597979875392083
21,-0.04086134765192072
22,0.00839563938689492
23,-0.01893954553498744
24,0.009080436747075045
25,0.010380294548974349
26,0.025111406379931266
27,-0.05199322609013812
28,-0.020896465152687053
29,-0.07221823731392911
30,-0.05811658794371532
31,0.037755283885805103
32,0.017079327365194543
33,-0.08483917541316452
34,-0.06020489791173967
35,0.06620517701666408
36,-0.13678917732571105
37,0.007251437148148932
38,-0.011893163283976015
39,0.09427633156817264
40,-0.059386629786286275
41,0.015038308056693636
42,0.015038308056693636
43,0.010367059758112813
44,-0.09655157513537571
45,-0.013285145981332106
46,-0.04691690775609679
47,-0.15599563618590145
48,0.052883187064785384
49,-0.050184159913315436
50,-0.03998136971332782
51,0.002144756760252033
52,-0.15856299499034107
53,0.004833198952912123
54,-0.02515579173240202
55,0.005513951072962066
56,0.08767503420103027
57,0.05536041056225658
58,-0.02802393642430536
59,-0.10403384296314659
60,-0.07628689224214469
61,0.014443014221640288
62,0.001055709929203279
63,0.014223862758463232
64,0.032820313084109556
65,-0.0037074968472777378
66,-0.04058920230948017
67,0.06436005309175749
68,-0.053603448253369906
69,0.049728593533145245
70,-0.035840930339580974
71,-0.030889145267359672
72,0.02243395040679256
73,-0.15520215913974897
74,-0.019000381481924417
75,0.1032193163502063
76,-0.03168222846291544
77,-0.1061109731914321
78,-0.07682418901192263
79,-0.17145470707411928
80,-0.11760552918987384
81,0.049871790522227885
82,-0.06462644960945844
83,-0.04666836147469753
84,-0.11712434112942896
85,0.04197244800299086
86,-0.06053108722843615
87,-0.10814962318438369
88,0.04266570852393187
89,-0.10863655150765406
90,0.005205034270757753
91,-0.04330007905805366
92,-0.019893652050232823
93,0.007142613460694007
94,-0.07519024937739084
95,-0.0892519659955008
96,-0.03360236750682046
97,0.037113192325459676
98,0.009439952728091706
99,0.033517026954448095
100,-0.1975772544064626
101,-0.1975772544064626
102,-0.0639187741901833
103,-0.042848737797499696
104,0.01378682275013594
105,-0.044481252734408165
106,-0.04133154840316707
107,-0.12302610139257227
108,-0.1266705878253057
109,-0.037261135189343174
110,-0.11858344186427845
111,-0.12758071124219372
112,-0.042780475704219646
113,-0.03967411593379116
114,-0.01120843000563463
115,-0.08177736978504926
116,-0.11327987011973514
117,-0.05290880382870761
118,0.042344848657923304
119,-0.08267694350889024
120,0.1012845758198376
121,0.0022378804737178478
122,-0.09046157919919431
123,0.03415553999755748
124,0.012267846777383245
125,-0.03583244714659884
126,0.016875216031615944
127,-0.14106678196048306
128,-0.11559073359554833
129,-0.11668565704915133
130,-0.08303674735738863
131,-0.12724689491961866
132,-0.08410597923628259
133,0.022508212985117956
134,-0.040706129831895574
135,-0.08166782125324434
136,-0.08345104226216626
137,-0.08345104226216626
138,0.023301537537139424
139,-0.05148910543628186
140,0.0005187385927800644
141,-0.049152441893345146
142,-0.048918727589458415
143,0.09529590619851537
144,-0.08465305374376444
145,-0.1226439214358872
146,-0.1005177792579195
147,-0.03529233992524076
148,-0.12946556764844305
149,-0.045685549335711895
150,-0.016900269984020062
151,0.07223505469613149
152,0.015183770235142838
153,-0.09064073892830178
154,-0.03741844487907103
155,-0.09745837244868871
156,-0.03157853917008655
157,-0.05943946296916097
158,-0.03365583068365388
159,-0.11590026031510932
160,-0.09889885311158401
161,-0.1455170397679722
162,-0.06646908943414573
163,0.0013002230747409524
164,0.0397406201637352
165,-0.017661661922146597
166,-0.04935133919204541
167,-0.14205707594607564
168,0.0411577249527921
169,0.009483576328802958
170,-0.07215770107626147
171,-0.010302787146792067
172,-0.0011010447486605316
173,-0.04568382597854679
174,0.028951005117510406
175,-0.040099793318142
176,-0.07528932977740366
177,-0.02606450273134394
178,-0.07924798138811535
179,-0.021697774930011873
180,-0.04659999031068167
181,-0.1151463724587196
182,0.06804495333115321
183,-0.15023860832912259
184,-0.15023860832912259
185,-0.07747290106740203
186,0.03552594334508041
187,-0.14552177817420878
188,-0.11097901037404168
189,-0.10970686043771538
190,-0.043796567472198886
191,-0.04955523057495992
192,0.11056447986992193
193,-0.029673120479301537
194,-0.07224822519456107
195,-0.0862831569180223
196,-0.0714375030299342
197,0.020250705405843426
198,-0.07364806788008613
199,0.04430003995254774
200,0.03474323916515015
201,0.030210326473236047
202,-0.035343380424135123
203,-0.035343380424135123
204,-0.0054668800960582615
205,-0.12138358414281757
206,-0.12145384397972567
207,0.017724548195700598
208,-0.060726344120210954
209,-0.051983360504894424
210,-0.095273174838889
211,-0.13822833447792385
212,-0.1548942206035535
213,-0.04360752445847357
214,-0.08844523647513758
215,-0.12138640461393398
216,0.01989254363221077
217,-0.05147841566246084
218,-0.02092131447005497
219,-0.00972587684196587
220,-0.02123902281462302
221,-0.0794228476288938
222,0.039703982971597565
223,-0.12130327638261792
224,-0.047520987027728036
225,-0.008180019340111826
226,0.01806724079460626
227,-0.0988259654604522
228,-0.09739971539522546
229,-0.1702425144132258
230,-0.09424085797351348
231,-0.09916545002098157
232,-0.05903135409513704
233,-0.13376565117156977
234,0.024911533192466126
235,0.03918775132803822
236,-0.11979849896374827
237,-0.09350413300877161
238,0.030665326638433035
239,-0.08038859131494842
240,-0.07212000124027486
241,-0.07212000124027486
242,0.003666015800354233
243,-0.014630323822241878
244,-0.1044957232262699
245,-0.06619259897324865
246,0.021565091955872452
247,-0.027656711961752803
248,-0.15536080950014708
249,-0.027656711961752803
250,0.041309985262873265
251,-0.03674470193236703
252,0.008074469457760676
253,-0.035245692946374134
254,-0.06828749545943756
255,-0.03904007841495616
256,-0.11106116044150746
