obs,pareto_shape
0,-0.02157630403043501
1,-0.02157630403043501
2,-0.024283508380668294
3,-0.09600122705708672
4,0.0476011459802182
5,-0.046658486197034534
6,-0.0484371413986136
7,-0.029963370167833306
8,-0.01603912507985609
9,-0.043510141828073924
10,0.012217813163141862
11,-0.0299475635721125
12,0.03723096893673096
13,-0.05211311175629953
14,-0.05270371530721165
15,-0.028754677103163435
16,0.016756293229507835
17,-0.02809748914142562
18,-0.058492252004636563
19,-0.060857469835493214
20,-0.0913086848525802
21,-0.07856449158930313
22,-0.05268600535460228
23,0.02585503187774788
24,-0.04751141907507153
25,-0.04751141907507153
26,-0.047798185911539
27,-0.04211904995798295
28,-0.055919894992477244
29,-0.018981676427588752
30,-0.05222344933998255
31,-0.03890576153877851
32,-0.052020995817095676
33,0.015856258225670557
34,-0.04528647381338442
35,-0.025974597590592376
36,-0.06095724636543074
37,-0.0491305738409341
38,-0.07368154897011235
39,-0.003012531305100201
40,0.028672946559111276
41,-0.04697697782286719
42,-0.06796547048819006
43,-0.04830451285821107
44,-0.042881256744078396
45,-0.052360683160924903
46,0.018524042896759803
47,-0.03786782231330264
48,-0.04467628825890946
49,-0.10225556428399786
50,0.033934131919364556
51,0.0060995540415374385
52,-0.0970413745333202
53,-0.000581270853607829
54,-0.045379068737034504
55,-0.07914887622312045
56,0.02753705966638746
57,-0.04599409245336693
58,-0.021896997676798355
59,-0.047583074992593795
60,-0.08980001739581889
61,-0.04380667014523305
62,0.038786944355789325
63,-0.01724279486512826
64,-0.02454875044468559
65,0.03701793635851616
66,-0.03940880503849036
67,-0.010672509579797821
68,-0.145163792059822
69,-0.014821714319659599
70,-0.08461925522624658
71,-0.0007674138960125616
72,-0.10435007465818566
73,-0.014139097221678571
74,-0.0776592893488251
75,-0.10661889547055034
76,0.031089507206931835
77,-0.10730535480918901
78,0.03157407532150343
79,-0.10829035197867372
80,-0.02910371053063716
81,0.006209634638393842
82,0.011535495329411692
83,0.020836959214964645
84,0.012891561517706518
85,-0.029300755586361978
86,0.008478397321104232
87,0.005135749375590079
88,-0.026188371354019618
89,0.055932921389883296
90,0.017435099159809106
91,0.0077269133342734555
92,0.0077269133342734555
93,-0.12983212075992448
94,-0.08400270212457725
95,0.006572163836348044
96,-0.11004247433747816
97,-0.021916584855971085
98,-0.08700786481243165
99,-0.0007350376867003822
100,-0.017864456834079015
101,-0.027112467953702653
102,-0.027112467953702653
103,0.0015329507212422855
104,-0.032373599827883806
105,-0.1351099239747159
106,-0.0008860923992187383
107,-0.025326423716939633
108,-0.08723131368995328
109,-0.037280328267893126
110,0.09160046641879954
111,0.006170071943133165
112,-0.10746145495963312
113,-0.10686563809745149
114,-0.08105126682253998
115,0.03395115391739833
116,0.03513014089494894
117,-0.0027734675734933448
118,-0.13157905761158603
119,-0.10574007173923614
120,-0.10522206487630949
121,0.03205224744823197
122,-0.10469601971523573
123,-0.013927174400675523
124,-0.018160914615021086
125,-0.010110422545849188
126,0.03888072702895431
127,-0.01749502390878713
128,0.0013674763267372725
129,-0.017316467629952433
130,-0.01936981833481543
131,0.005791598407563924
132,-0.017087043849250923
133,0.0029214965934659005
134,0.0029214965934659005
135,0.12097364692453352
136,-0.011510535024305907
137,0.039257739184420604
138,-0.1402612312764786
139,-0.08335126142568068
140,-0.09912361697330611
141,-0.004116941500494509
142,0.13273747022375726
143,-0.08366911586987133
144,0.044405882856043875
145,-0.0059017760007638595
146,-0.019851470469761465
147,-0.020902620468096583
148,-0.012932044260590272
149,-0.13287119614322485
150,0.1404429420226852
151,0.01747809437544833
152,-0.08440402287781557
153,0.004066659924774479
154,0.002324719577831988
155,-0.09746796842188737
156,-0.09835098068754718
157,-0.09835098068754718
158,0.03221025112797332
159,-0.02490687216994383
160,0.05250732703402188
161,-0.01307773727092817
162,-0.01307773727092817
163,-0.08475030747657811
164,-0.0967685622547117
165,-0.09534093083117923
166,-0.09534093083117923
167,-0.0018021252903315911
168,-0.022471642012846033
169,-0.017855116453952047
170,-0.017842888847827688
171,0.03640559484871801
172,-0.02015192734448748
173,-0.01298039286455725
174,0.04276726673723925
175,-0.02133816720125377
176,-0.022088590514313233
177,-0.024976064752480816
178,0.04450661411267939
179,0.04393129652006198
180,0.10533597455718327
181,-0.013369020808459881
182,-0.02317069106291009
183,-0.004341855790867989
184,-0.12254194061876174
185,0.03891095303130419
186,-0.09599158707106904
187,0.013041109672036214
188,-0.00478585075516384
189,-0.020877473013217223
190,-0.08818666285721023
191,-0.07898933242025094
192,0.06977501376253292
193,-0.012247618606662883
194,-0.08904203257156197
195,-0.022825810205297774
196,0.0012463038423289412
197,-0.04629648503389351
198,-0.02021017346336534
199,-0.13098842598913554
200,-0.08803520306394799
201,0.005562445181780135
202,-0.019748311839428642
203,-0.07802629138397159
204,0.1179026821056077
205,0.0974753818892746
206,-0.08814750385809453
207,-0.10041329595244027
208,-0.0864467679500289
209,-0.0066261299419100835
210,0.0319160821536735
211,-0.08307354843650101
212,-0.009152867788347858
213,-0.022059234976019807
214,0.03810367747589239
215,-0.033151960781272326
216,-0.08568462300680597
217,-0.009692086156933797
218,-0.08568462300680597
219,0.03536021152708131
220,-0.00908039102342154
221,0.027324311261207327
222,-0.008950906478158587
223,-0.05109917783165468
224,-0.039958321004489684
225,0.037320029328419914
226,-0.02774350926438912
227,0.023177080831313184
228,-0.028973803633358323
229,0.023177080831313184
230,0.07243101839208155
231,-0.007380376297758276
232,-0.017713785810990347
233,0.07261591103677373
234,-0.11603392520119675
235,-0.1048480575065609
236,-0.002974866711602987
237,0.06028731746084935
238,-0.09636289906919465
239,-0.026477927740029716
240,-0.06732350458363402
241,-0.0469880210412244
242,0.061126901459066074
243,-0.005077334290107012
244,-0.049705806996008066
245,-0.09643766101024676
246,-0.01600900989919353
247,0.07513185288773472
248,-0.013117322341663263
249,-0.05195176021064228
250,0.025551740825823916
251,-0.09110375824370029
252,-0.09127369978396005
253,-0.02007574929603899
254,0.015529400634756862
255,-0.09192256855764759
256,-0.10089086366747986
257,-0.0704811949864817
258,0.03864361282136994
259,-0.08516587902143427
260,0.002938290447173609
261,0.0006341328127788015
262,-0.052751730103830004
263,-0.08773543457501108
264,0.041949067187484514
265,-0.0028054400446764468
266,-0.08686084134373248
267,-0.032876774829374164
268,-0.025603606081475716
269,0.013727790576469993
270,-0.06626266502366905
271,0.05627760480020582
272,-0.056048047756354455
273,0.040493224231813
274,0.04046199687943286
275,0.004467088144387977
276,0.07515875206983126
277,-0.027370094291901802
278,-0.08165829952860285
279,-0.08165829952860285
280,-0.016379176785778885
281,-0.10154688994982378
282,0.011290890368151807
283,0.0340648481211594
284,-0.03433931260740618
285,-0.0821114347671811
286,0.016305455954251875
287,-0.07916531549623658
288,0.07117941136696634
289,0.016868271934239096
290,-0.08262242868062035
291,-0.06591787866912181
292,-0.061340264177032665
293,-0.06573527323236893
294,0.012993091984432832
295,-0.07844014663440156
296,-0.08319922058927368
297,-0.051021630291152406
298,-0.06374007027460193
299,-0.07893450860532661
300,0.05950712197965915
301,-0.06071065505353776
302,-0.06071065505353776
303,0.008149908959067293
304,0.03256857061624933
305,-0.07638765639969826
306,-0.07298120003694442
307,-0.07124455313330308
308,-0.07124455313330308
309,-0.0160375347907847
310,-0.06091646415387403
311,0.05885459748326379
312,-0.02857015642674333
313,-0.07096167597228469
314,-0.06721629236064579
315,-0.07771938423420427
316,-0.029165369582220144
317,0.019989030830655227
318,-0.07394160977927756
319,0.008067778372292547
320,0.06408135219718822
321,0.10073938077659762
322,0.05533542310181869
323,0.018360250478618445
324,0.013850705265796938
325,-0.0350605240245366
326,0.0032807835294628896
327,0.0032807835294628896
328,-0.05577442051663812
329,0.0030339047347662847
330,0.011392543706151063
331,-0.05472680123789529
332,-0.05021379744243953
333,0.013305261355631592
334,0.013305261355631592
335,-0.07252398751280964
336,0.0012710703663290697
337,-0.022894682331963886
338,-0.08853268652543018
339,0.04395680348523746
340,-0.04959983069556758
341,-0.07172162116287416
342,-0.07111759414392527
343,0.004795421626665013
344,-0.061837763659102
345,0.003686289969342891
346,-0.07709230792905986
347,-0.04388921254406048
348,0.06184881457323561
349,-0.06806364327199682
350,-0.0510114226813029
351,-0.053693801983938236
352,-0.04458107839332655
353,-0.0751757726802198
354,-0.0854009983591146
355,-0.0854009983591146
356,-0.0462508019756165
357,0.011116753110715742
358,-0.0462508019756165
359,-0.045312354207345425
360,-0.056760614149061674
361,0.06776463097625117
362,0.008590452460568603
363,-0.0040315268704415866
364,-0.0787367644246205
365,0.002198970102711975
366,0.019365465282999064
367,0.054604084385617084
368,0.0012778095943264017
369,-0.06641773358388123
370,-0.06465001480048073
371,0.06059967294547428
372,-0.07852558967540445
373,-0.0375868217079145
374,-0.0011704333220147298
375,0.0015657652569439386
376,-0.040709047874799176
377,-0.027769317345453588
378,0.056216210529519486
379,-0.06716596183430967
380,-0.08222735657903787
381,-0.03537427455243364
382,0.0013711538360714765
383,0.0013711538360714765
384,0.07349149723903059
385,-0.08385426407005048
386,-0.03828349237029776
387,-0.03828349237029776
388,-0.053514991044080376
389,-0.0006751288172441727
390,-0.05632430949454533
391,-0.010945839693271937
392,0.0025828406022666735
393,-0.06131938101481698
394,-0.08593814766914445
395,-0.0008368902042336416
396,-0.029057274994710707
397,-0.07598670783650777
398,-0.08681364641492648
399,-0.02492684982507462
400,0.0003686536886865463
401,-0.024668476410423953
402,-0.0419946484180279
403,-0.07777244069643006
404,-0.02357098215018119
405,0.07440421555584396
406,-0.02517584768413433
407,-0.005394185815551145
408,0.02088213089402102
409,-0.02070260849178342
410,0.002599351549654658
411,0.004214106168360681
412,-0.0569922384961424
413,-0.07959561703328526
414,-0.0788986595262582
415,-0.0018936231446370464
416,-0.02318455166959768
417,-0.003261808561934673
418,0.027991885868795474
419,0.039851599705995035
420,-0.02207316938979875
421,-0.07635697237038497
422,-0.0017584746311032234
423,-0.0013086365733196124
424,-0.0004671328444555715
425,-0.03241996754927911
426,-0.07510893861816975
427,-0.07674785090724145
428,0.0014720163299203161
429,-0.07246504083779752
430,0.0760377802168396
431,-0.01374333040972917
432,0.029319921970259084
433,-0.043546819185184604
434,-0.07577990429060612
435,-0.021143451863686828
436,-0.0023165010304453475
437,-0.02185970931023758
438,-0.07454211474982626
439,-0.08161113631372051
440,0.0013182577435498619
441,-0.08006654359027571
442,-0.08006654359027571
443,-0.08044384695222151
444,0.025533414357553273
445,-0.022779829730400245
446,0.029453271704532064
447,-0.02395785498462708
448,-0.06451315809445124
449,-0.022157764307156647
450,0.01649363183358783
451,-0.02033197593929629
452,-0.0376207522830081
453,-0.03513422528185685
454,0.0018338070954474876
455,-0.08007923868225189
456,-0.0574517702405611
457,0.028441823869076198
458,-0.012412136460144862
459,0.0003403224840431287
460,0.08916769195629053
461,0.010855861818251544
462,4.984829078536257e-07
463,-0.023772434467309828
464,-0.06993734625141636
465,-0.052065713847717056
466,-0.09043240014686972
467,0.011865513116913123
468,0.004879173068234436
469,-0.0042308955043559564
470,0.004812589477910048
471,-0.05086650166869288
472,0.0019106281803714477
473,0.0166474049629425
474,-0.0780292601083689
475,-0.037870465579449036
476,0.007206281885485099
477,-0.056057917982638095
478,0.027997395597804387
479,0.0046900921655009436
480,0.04422362083824562
481,0.04422362083824562
482,-0.0731608367283695
483,-0.09015798631205584
484,-0.04384704465347056
485,0.0220127799036242
486,0.09328706497183258
487,0.008024855871010343
488,0.009184692223034972
489,0.009412311634126529
490,-0.04695763560209726
491,-0.07183977168049427
492,-0.09919770894617737
493,-0.041570975638884046
494,0.008290229484777001
495,0.02484850441838472
496,-0.04785887548109489
497,0.009460237047457958
498,0.010768609134305619
499,0.012092144897758679
500,0.003977855756038317
501,0.014786068014621585
502,0.020949215922489838
503,-0.08277679845076964
504,0.03454067936610813
505,0.003158807386627123
506,-0.015430171648947015
507,-0.030857052334642546
508,-0.10489835138661315
509,0.032167372718074724
510,0.049227189288041436
511,0.03522070749613043
512,0.03220705950691326
513,0.015868601604318147
514,0.013317267050835448
515,0.005452246759164285
516,-0.028753274513317557
517,-0.028753274513317557
518,-0.08657992979338691
519,-0.0036175388831441594
520,-0.027446926454121095
521,-0.07052529944289959
522,0.041424118008201186
523,-0.012448979486629243
524,-0.03148705879003204
525,0.007268924569263262
526,0.011113202897932207
527,0.0044216264886765754
528,0.03587227032723088
529,-0.03079688712830643
530,-0.1288146194578189
531,0.034056901704148164
532,6.009694762770258e-05
533,-0.038349072293108084
534,-0.0937718840622989
535,0.03607859064468394
536,-0.0012268856625481618
537,-0.0009379074296326237
538,0.007878558835975791
539,-0.026643207809338123
540,-0.03799337938355733
541,-0.033838683553149104
542,0.033342772984629794
543,-0.1317465296041772
544,-0.07007176412899355
545,-0.03181511111423103
546,0.033037531360386715
547,0.033037531360386715
548,0.05939840321617349
549,-0.05777644139272219
550,-0.05777644139272219
551,0.06595328085420812
552,0.004745470524282591
553,-0.09866871306449791
554,0.01951489990238776
555,0.011777700046097963
556,-0.03808874630638352
557,-0.13953126156208961
558,0.04998312825489494
559,0.011477940275750885
560,-0.03332574638830057
561,0.013556167036235717
562,0.03639371222296728
563,0.006077873751961105
564,0.03639371222296728
565,-0.03589805365629846
566,0.027355902053158312
567,-0.07653920824744796
568,0.02526991511771529
569,0.005809903541851871
570,0.02638785491438313
571,0.03984141866424069
572,0.03812110186602249
573,0.015710992098446546
574,-0.0398009909935747
575,-0.040405970678186985
576,0.008422494892323083
577,-0.09949014682586341
578,0.015285643304270395
579,0.00725567104365188
